,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_AB,npsf_AB,nfa_AB,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,4760746.166666667,10153.666666666666,6,28564477,60922,2815,"CHEUNG SHING BLDG,CHEUNG SHA WAN RD|長勝大廈,長沙灣道",7354752.0,10272.0,716.0,4940160.0,9920.0,498.0,4501924.0,10094.0,446.0,3884928.0,10117.0,384.0,4415733.0,10013.0,441.0,3466980.0,10506.0,330.0,-0.014594683971296374,-0.01447821796593185
2019-11-15,4831256.833333333,10302.833333333334,6,28987541,61817,2815,"CHEUNG SHING BLDG,CHEUNG SHA WAN RD|長勝大廈,長沙灣道",7469312.0,10432.0,716.0,5012868.0,10066.0,498.0,4567932.0,10242.0,446.0,3940608.0,10262.0,384.0,4481001.0,10161.0,441.0,3515820.0,10654.0,330.0,0.08338370741210177,0.08352029727266364
2019-10-15,4459414.333333333,9508.666666666666,6,26756486,57052,2815,"CHEUNG SHING BLDG,CHEUNG SHA WAN RD|長勝大廈,長沙灣道",6900092.0,9637.0,716.0,4626420.0,9290.0,498.0,4216038.0,9453.0,446.0,3635328.0,9467.0,384.0,4135698.0,9378.0,441.0,3242910.0,9827.0,330.0,-0.0887626959928356,-0.0886553145266924
2019-9-15,4893801.333333333,10433.666666666666,6,29362808,62602,2815,"CHEUNG SHING BLDG,CHEUNG SHA WAN RD|長勝大廈,長沙灣道",7578144.0,10584.0,716.0,5076612.0,10194.0,498.0,4625912.0,10372.0,446.0,3987840.0,10385.0,384.0,4537890.0,10290.0,441.0,3556410.0,10777.0,330.0,-0.0034579349964424244,-0.003327442645396528
2019-8-15,4910782.5,10468.5,6,29464695,62811,2815,"CHEUNG SHING BLDG,CHEUNG SHA WAN RD|長勝大廈,長沙灣道",7611080.0,10630.0,716.0,5093544.0,10228.0,498.0,4641076.0,10406.0,446.0,3999360.0,10415.0,384.0,4553325.0,10325.0,441.0,3566310.0,10807.0,330.0,-0.0810290622382277,-0.05139396502250271
2019-7-15,5343784.333333333,11035.666666666666,6,32062706,66214,2815,"CHEUNG SHING BLDG,CHEUNG SHA WAN RD|長勝大廈,長沙灣道",10434984.0,14574.0,716.0,5041752.0,10124.0,498.0,4593800.0,10300.0,446.0,3957120.0,10305.0,384.0,4507020.0,10220.0,441.0,3528030.0,10691.0,330.0,-0.0361843456000539,-0.03611616565980058
2019-6-15,5544405.0,11449.166666666666,6,33266430,68695,2815,"CHEUNG SHING BLDG,CHEUNG SHA WAN RD|長勝大廈,長沙灣道",10830216.0,15126.0,716.0,5230992.0,10504.0,498.0,4765956.0,10686.0,446.0,4104192.0,10688.0,384.0,4676364.0,10604.0,441.0,3658710.0,11087.0,330.0,0.025935262551500138,0.026785047008355267
2019-5-15,5404244.5,11150.5,6,32425467,66903,2815,"CHEUNG SHING BLDG,CHEUNG SHA WAN RD|長勝大廈,長沙灣道",10710644.0,14959.0,716.0,5021334.0,10083.0,498.0,4548754.0,10199.0,446.0,4056192.0,10563.0,384.0,4473063.0,10143.0,441.0,3615480.0,10956.0,330.0,0.021408894599806105,0.021435441762469587
2019-4-15,5290970.666666667,10916.5,6,31745824,65499,2815,"CHEUNG SHING BLDG,CHEUNG SHA WAN RD|長勝大廈,長沙灣道",10486536.0,14646.0,716.0,4916754.0,9873.0,498.0,4453756.0,9986.0,446.0,3970176.0,10339.0,384.0,4380012.0,9932.0,441.0,3538590.0,10723.0,330.0,-0.022981993913192666,-0.023961732755152232
2019-3-15,5415428.0,11184.5,6,32492568,67107,2815,"CHEUNG SHING BLDG,CHEUNG SHA WAN RD|長勝大廈,長沙灣道",10619712.0,14832.0,716.0,4979502.0,9999.0,498.0,4685676.0,10506.0,446.0,4028544.0,10491.0,384.0,4596984.0,10424.0,441.0,3582150.0,10855.0,330.0,0.02157908175127643,0.021710997092005302
