,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,3444622.0,8895.5,6,20667732.0,53373.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",3032755.0000000005,9053.0,335.0,3372019.0,9089.0,371.0,3851550.0,8559.0,450.0,3814848.0,8592.0,444.0,3553420.0,8996.0,395.0,3043140.0,9084.0,335.0,0.014313848125389494,0.01431014823261112
2019-11-15,3396012.0,8770.0,6,20376072.0,52620.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",2989875.0000000005,8925.0,335.0,3324902.0,8962.0,371.0,3797100.0000000005,8438.0,450.0,3760680.0,8470.0,444.0,3503255.0,8869.0,395.0,3000260.0,8956.0,335.0,-0.0003083058700378283,-0.0003039744661448296
2019-10-15,3397059.3333333335,8772.666666666666,6,20382356.0,52636.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",2990880.0,8928.0,335.0,3325644.0,8964.0,371.0,3798450.0,8441.0,450.0,3762012.0,8473.0,444.0,3504440.0,8872.0,395.0,3000930.0,8958.0,335.0,-0.01564827257306023,-0.015652759336487576
2019-9-15,3451062.5,8912.166666666666,6,20706375.0,53473.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",3038450.0,9070.0,335.0,3378697.0,9107.0,371.0,3858750.0,8575.0,450.0,3821508.0,8607.0,444.0,3560135.0,9013.0,395.0,3048835.0,9101.0,335.0,-0.007573430136227355,-0.0074617169373549785
2019-8-15,3477398.3333333335,8979.166666666666,6,20864390.0,53875.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",3063910.0,9146.0,335.0,3407264.0,9184.0,371.0,3890700.0,8646.0,450.0,3853476.0,8679.0,444.0,3590155.0,9089.0,395.0,3058885.0,9131.0,335.0,-0.02152708048112917,-0.021521976026153244
2019-7-15,3553903.5,9176.666666666666,6,21323421.0,55060.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",3131245.0,9347.0,335.0,3482206.0,9386.0,371.0,3976650.0,8837.0,450.0,3938279.9999999995,8870.0,444.0,3669154.9999999995,9289.0,395.0,3125885.0,9331.0,335.0,-0.010508459050601493,-0.010513073950939034
2019-6-15,3591646.1666666665,9274.166666666666,6,21549877.0,55645.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",3164745.0,9447.0,335.0,3519306.0,9486.0,371.0,4018500.0,8930.0,450.0,3980016.0,8964.0,444.0,3708260.0,9388.0,395.0,3159049.9999999995,9430.0,335.0,0.03720572007539724,0.037204794124773954
2019-5-15,3462809.8333333335,8941.5,6,20776859.0,53649.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",3051180.0,9108.0,335.0,3393166.0,9146.0,371.0,3874500.0,8610.0,450.0,3837048.0,8642.0,444.0,3575145.0,9051.0,395.0,3045820.0,9092.0,335.0,-0.007514177066175298,-0.007510868559800099
2019-4-15,3489027.0,9009.166666666666,6,20934162.0,54055.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",3074295.0,9177.0,335.0,3418765.0,9215.0,371.0,3903750.0,8675.0,450.0,3866352.0,8708.0,444.0,3602400.0,9120.0,395.0,3068600.0,9160.0,335.0,0.02989491109218334,0.030207737754907482
2019-3-15,3387750.5,8745.0,6,20326503.0,52470.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",2977815.0,8889.0,335.0,3311917.0,8927.0,371.0,3781350.0,8403.0,450.0,3793536.0,8544.0,444.0,3489430.0,8834.0,395.0,2972455.0,8873.0,335.0,0.023598431011394583,0.02394473391487617
2019-2-15,3309648.0,8540.5,6,19857888.0,51243.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",2902105.0,8663.0,335.0,3227699.9999999995,8700.0,371.0,3733200.0,8296.0,450.0,3697188.0,8327.0,444.0,3400950.0,8610.0,395.0,2896745.0,8647.0,335.0,0.04285809639880034,0.04285975944807374
2019-1-15,3173632.1666666665,8189.5,6,19041793.0,49137.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",2782845.0,8307.0,335.0,3095253.0,8343.0,371.0,3579750.0,7955.0,450.0,3545339.9999999995,7985.0,444.0,3261120.0,8256.0,395.0,2777485.0,8291.0,335.0,-0.036434331061222625,-0.036416048946934954
2018-12-15,3293633.5,8499.0,6,19761801.0,50994.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",2887700.0,8620.0,335.0,3212489.0,8659.0,371.0,3715650.0,8257.0,450.0,3679872.0,8288.0,444.0,3384755.0,8569.0,395.0,2881335.0,8601.0,335.0,0.030524202726729177,0.03053573954691524
2018-11-15,3196075.8333333335,8247.166666666666,6,19176455.0,49483.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",2801940.0,8364.0,335.0,3117513.0000000005,8403.0,371.0,3605849.9999999995,8013.0,450.0,3571092.0,8043.0,444.0,3284820.0,8316.0,395.0,2795240.0,8344.0,335.0,-0.06570009977127345,-0.06568860692572043
2018-10-15,3420824.3333333335,8827.0,6,20524946.0,52962.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",2998585.0,8951.0,335.0,3337145.0,8995.0,371.0,3859650.0,8577.0,450.0,3822395.9999999995,8609.0,444.0,3516290.0,8902.0,395.0,2990880.0,8928.0,335.0,-0.046720922670680176,-0.046708785571575095
2018-9-15,3588481.5,9259.5,6,21530889.0,55557.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",3145315.0,9389.0,335.0,3500756.0,9436.0,371.0,4049100.0,8998.0,450.0,4010207.9999999995,9032.0,444.0,3688905.0000000005,9339.0,395.0,3136605.0,9363.0,335.0,-0.017397372465681293,-0.017385921471524624
2018-8-15,3652017.0,9423.333333333334,6,21912102.0,56540.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",3200590.0,9554.0,335.0,3563084.0,9604.0,371.0,4121100.0,9158.0,450.0,4081248.0,9192.0,444.0,3754870.0,9506.0,395.0,3191210.0,9526.0,335.0,0.0013849410996729095,0.0013991959051382619
2018-7-15,3646966.1666666665,9410.166666666666,6,21881797.0,56461.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",3195565.0,9539.0,335.0,3558632.0,9592.0,371.0,4115700.0,9146.0,450.0,4075920.0,9180.0,444.0,3750130.0,9494.0,395.0,3185850.0,9510.0,335.0,0.04547934683738375,0.044529544529544385
2018-6-15,3488319.6666666665,9009.0,6,20929918.0,54054.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",3097410.0,9246.0,335.0,3387971.9999999995,9132.0,371.0,3911400.0,8692.0,450.0,3873456.0,8724.0,444.0,3571985.0,9043.0,395.0,3087695.0,9217.0,335.0,0.0039750468291674945,0.003993387692936334
2018-5-15,3474508.3333333335,8973.166666666666,6,20847050.0,53839.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",3084680.0,9208.0,335.0,3374616.0,9096.0,371.0,3896100.0,8658.0,450.0,3858804.0,8691.0,444.0,3558555.0,9009.0,395.0,3074295.0,9177.0,335.0,0.032530962234132765,0.03254574047792547
2018-4-15,3365040.3333333335,8690.333333333334,6,20190242.0,52142.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",2986860.0,8916.0,335.0,3268510.0,8810.0,371.0,3773700.0,8386.0,450.0,3737592.0,8418.0,444.0,3446770.0,8726.0,395.0,2976810.0,8886.0,335.0,0.030700467178913726,0.030718747529058232
2018-3-15,3264809.1666666665,8431.333333333334,6,19588855.0,50588.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",2897415.0,8649.0,335.0,3171308.0,8548.0,371.0,3661650.0,8137.0,450.0,3626592.0,8168.0,444.0,3344860.0,8468.0,395.0,2887030.0,8618.0,335.0,0.008761027435011615,0.00863323696540741
2018-2-15,3236454.5,8359.166666666666,6,19418727.0,50155.0,2330,"CHUEN WO BLDG,SAN FUNG AVE|全和大樓,新豐路",2886695.0000000005,8617.0,335.0,3141257.0,8467.0,371.0,3627000.0,8060.0,450.0,3591960.0000000005,8090.0,444.0,3313260.0,8388.0,395.0,2858555.0,8533.0,335.0,0.0032578050772720246,0.003260521683469353
