,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2016-1-15,8206258.333333333,13224.0,3,24618775.0,39672,1850.0,"ELEGANT TERR,VILLAGE TERR|富雅閣,山村臺",9079910.0,13654.0,665.0,6214025.0,12305.0,505.0,9324840.0,13713.0,680.0,-0.03432380867206253,-0.03434510624832665
2016-2-15,8497940.0,13694.333333333334,3,25493820.0,41083,1850.0,"ELEGANT TERR,VILLAGE TERR|富雅閣,山村臺",9401770.0,14138.0,665.0,6436730.0,12746.0,505.0,9655320.0,14199.0,680.0,-0.005693492148924673,-0.0057116580749775325
2016-3-15,8546600.0,13773.0,3,25639800.0,41319,1850.0,"ELEGANT TERR,VILLAGE TERR|富雅閣,山村臺",9454970.0,14218.0,665.0,6475110.0,12822.0,505.0,9709720.0,14279.0,680.0,-0.004720433532254931,-0.006492101276779905
2016-4-15,8587135.0,13863.0,3,25761405.0,41589,1850.0,"ELEGANT TERR,VILLAGE TERR|富雅閣,山村臺",9689715.0,14571.0,665.0,6638730.0,13146.0,505.0,9432960.0,13872.0,680.0,0.0911383306663458,0.0911165914576555
2016-5-15,7869886.666666667,12705.333333333334,3,23609660.0,38116,1850.0,"ELEGANT TERR,VILLAGE TERR|富雅閣,山村臺",8879745.0,13353.0,665.0,6085755.0,12051.0,505.0,8644160.0,12712.0,680.0,-0.0639754814341561,-0.06399489219586463
2016-6-15,8407778.333333334,13574.0,3,25223335.0,40722,1850.0,"ELEGANT TERR,VILLAGE TERR|富雅閣,山村臺",9486225.0,14265.0,665.0,6503390.0,12878.0,505.0,9233720.0,13579.0,680.0,-0.007725890032248439,-0.007748538011695949
2016-7-15,8473241.666666666,13680.0,3,25419725.0,41040,1850.0,"ELEGANT TERR,VILLAGE TERR|富雅閣,山村臺",9559375.0,14375.0,665.0,6555910.0,12982.0,505.0,9304440.0,13683.0,680.0,-0.008122209094158395,-0.00814462140802863
2016-8-15,8542626.666666666,13792.333333333334,3,25627880.0,41377,1850.0,"ELEGANT TERR,VILLAGE TERR|富雅閣,山村臺",9637180.0,14492.0,665.0,6611460.0,13092.0,505.0,9379240.0,13793.0,680.0,-0.0768372341657555,-0.07685957788585951
2016-9-15,9253651.666666666,14940.666666666666,3,27760955.0,44822,1850.0,"ELEGANT TERR,VILLAGE TERR|富雅閣,山村臺",10438505.0,15697.0,665.0,7163930.0,14186.0,505.0,10158520.0,14939.0,680.0,-0.018080005687583056,-0.018094987732211743
2016-10-15,9424038.333333334,15216.0,3,28272115.0,45648,1850.0,"ELEGANT TERR,VILLAGE TERR|富雅閣,山村臺",10630025.0,15985.0,665.0,7297250.0,14450.0,505.0,10344840.0,15213.0,680.0,0.17907553964110323,0.1662153185836186
