,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,17528313.5,21061.0,4,70113254,84244,3329,"HAWTHORN GDN,SING WOO RD|荷塘苑,成和道",17026214.0,21046.0,809.0,17827812.0,21123.0,844.0,17476992.0,21006.0,832.0,17782236.0,21069.0,844.0,-0.06875672533373112,-0.06875663247258579
2019-11-15,18822486.0,22616.0,4,75289944,90464,3329,"HAWTHORN GDN,SING WOO RD|荷塘苑,成和道",18283400.0,22600.0,809.0,19144452.0,22683.0,844.0,18766592.0,22556.0,832.0,19095500.0,22625.0,844.0,0.001073538818467057,0.0010734006883044156
2019-10-15,18802301.0,22591.75,4,75209204,90367,3329,"HAWTHORN GDN,SING WOO RD|荷塘苑,成和道",18263984.0,22576.0,809.0,19123352.0,22658.0,844.0,18746624.0,22532.0,832.0,19075244.0,22601.0,844.0,-0.004768797180029316,-0.004768722466960362
2019-9-15,18892395.0,22700.0,4,75569580,90800,3329,"HAWTHORN GDN,SING WOO RD|荷塘苑,成和道",18351356.0,22684.0,809.0,19215348.0,22767.0,844.0,18836480.0,22640.0,832.0,19166396.0,22709.0,844.0,-0.01233503292724969,-0.012334935932299285
2019-8-15,19128343.75,22983.5,4,76513375,91934,3329,"HAWTHORN GDN,SING WOO RD|荷塘苑,成和道",18580303.0,22967.0,809.0,19455044.0,23051.0,844.0,19071936.0,22923.0,832.0,19406092.0,22993.0,844.0,-0.013414393542044656,-0.013414320054945028
2019-7-15,19388427.75,23296.0,4,77553711,93184,3329,"HAWTHORN GDN,SING WOO RD|荷塘苑,成和道",18832711.0,23279.0,809.0,19720060.0,23365.0,844.0,19331520.0,23235.0,832.0,19669420.0,23305.0,844.0,-0.009133967799659803,-0.009134119498527271
2019-6-15,19567153.5,23510.75,4,78268614,94043,3329,"HAWTHORN GDN,SING WOO RD|荷塘苑,成和道",19006646.0,23494.0,809.0,19901520.0,23580.0,844.0,19509568.0,23449.0,832.0,19850880.0,23520.0,844.0,0.006194796102847455,0.006194898570572649
2019-5-15,19446685.25,23366.0,4,77786741,93464,3329,"HAWTHORN GDN,SING WOO RD|荷塘苑,成和道",18889341.0,23349.0,809.0,19779140.0,23435.0,844.0,19389760.0,23305.0,832.0,19728500.0,23375.0,844.0,0.09158853625442442,0.09158861040386812
2019-4-15,17815032.5,21405.5,4,71260130,85622,3329,"HAWTHORN GDN,SING WOO RD|荷塘苑,成和道",17304510.0,21390.0,809.0,18119836.0,21469.0,844.0,17762368.0,21349.0,832.0,18073416.0,21414.0,844.0,-0.04275235358100504,-0.0429446481266208
2019-3-15,18610683.0,22366.0,4,74442732,89464,3329,"HAWTHORN GDN,SING WOO RD|荷塘苑,成和道",18471088.0,22832.0,809.0,18796724.0,22271.0,844.0,18426304.0,22147.0,832.0,18748616.0,22214.0,844.0,-0.09524127257690651,-0.09524483728079935
