,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,3551120.0,10558.0,3,10653360.0,31674.0,1010,"HOI CHEONG BLDG,WO YI HOP RD|海昌大樓,和宜合道",3531660.0,10702.0,330.0,3605250.0,10925.0,330.0,3516450.0,10047.0,350.0,0.03174346453810384,0.03169277873684906
2019-11-15,3441863.3333333335,10233.666666666666,3,10325590.0,30701.0,1010,"HOI CHEONG BLDG,WO YI HOP RD|海昌大樓,和宜合道",3440580.0,10426.0,330.0,3485460.0,10562.0,330.0,3399550.0,9713.0,350.0,-0.014220194872519465,-0.014224248651425797
2019-10-15,3491513.3333333335,10381.333333333334,3,10474540.0,31144.0,1010,"HOI CHEONG BLDG,WO YI HOP RD|海昌大樓,和宜合道",3491400.0000000005,10580.0,330.0,3535290.0,10713.0,330.0,3447850.0,9851.0,350.0,-0.008876503900798083,-0.008878846704643117
2019-9-15,3522783.3333333335,10474.333333333334,3,10568350.0,31423.0,1010,"HOI CHEONG BLDG,WO YI HOP RD|海昌大樓,和宜合道",3523740.0,10678.0,330.0,3566310.0,10807.0,330.0,3478300.0,9938.0,350.0,0.025725763324142115,0.02572221315488843
2019-8-15,3434430.0,10211.666666666666,3,10303290.0,30635.0,1010,"HOI CHEONG BLDG,WO YI HOP RD|海昌大樓,和宜合道",3436290.0,10413.0,330.0,3476550.0,10535.0,330.0,3390450.0000000005,9687.0,350.0,-0.04264980533900753,-0.04265624999999995
2019-7-15,3587433.3333333335,10666.666666666666,3,10762300.0,32000.0,1010,"HOI CHEONG BLDG,WO YI HOP RD|海昌大樓,和宜合道",3590070.0,10879.0,330.0,3631980.0,11006.0,330.0,3540250.0,10115.0,350.0,0.09066605591610566,0.09066121336059974
2019-6-15,3289213.3333333335,9780.0,3,9867640.0,29340.0,1010,"HOI CHEONG BLDG,WO YI HOP RD|海昌大樓,和宜合道",3292080.0,9976.0,330.0,3330360.0,10092.0,330.0,3245200.0,9272.0,350.0,-0.08787939011032175,-0.08788509963627322
2019-5-15,3606116.6666666665,10722.333333333334,3,10818350.0,32167.0,1010,"HOI CHEONG BLDG,WO YI HOP RD|海昌大樓,和宜合道",3609870.0,10939.0,330.0,3651780.0000000005,11066.0,330.0,3556700.0,10162.0,350.0,0.0004420371810602841,0.0004354181569372617
2019-4-15,3604523.3333333335,10717.666666666666,3,10813570.0,32153.0,1010,"HOI CHEONG BLDG,WO YI HOP RD|海昌大樓,和宜合道",3608880.0,10936.0,330.0,3650790.0,11063.0,330.0,3553900.0,10154.0,350.0,0.05430665417386127,0.054300422992425545
2019-3-15,3418856.6666666665,10165.666666666666,3,10256570.0,30497.0,1010,"HOI CHEONG BLDG,WO YI HOP RD|海昌大樓,和宜合道",3423420.0,10374.0,330.0,3463350.0,10495.0,330.0,3369800.0000000005,9628.0,350.0,-0.06518461942295506,-0.06519740068661106
2019-2-15,3657253.3333333335,10874.666666666666,3,10971760.0,32624.0,1010,"HOI CHEONG BLDG,WO YI HOP RD|海昌大樓,和宜合道",3665970.0,11109.0,330.0,3703590.0,11223.0,330.0,3602200.0,10292.0,350.0,0.08961516040197082,0.08960956547877474
2019-1-15,3356463.3333333335,9980.333333333334,3,10069390.0,29941.0,1010,"HOI CHEONG BLDG,WO YI HOP RD|海昌大樓,和宜合道",3364350.0,10195.0,330.0,3399989.9999999995,10303.0,330.0,3305050.0,9443.0,350.0,0.08604312294601923,0.08603866661830328
2018-12-15,3090543.3333333335,9189.666666666666,3,9271630.0,27569.0,1010,"HOI CHEONG BLDG,WO YI HOP RD|海昌大樓,和宜合道",3097710.0,9387.0,330.0,3131370.0,9489.0,330.0,3042550.0,8693.0,350.0,-0.13174058684766732,-0.13149355763475412
2018-11-15,3559470.0,10581.0,3,10678410.0,31743.0,1010,"HOI CHEONG BLDG,WO YI HOP RD|海昌大樓,和宜合道",3541560.0,10732.0,330.0,3580500.0,10850.0,330.0,3556350.0,10161.0,350.0,-0.10752125594134165,-0.10751539348272265
2018-10-15,3988296.6666666665,11855.666666666666,3,11964890.0,35567.0,1010,"HOI CHEONG BLDG,WO YI HOP RD|海昌大樓,和宜合道",3966930.0,12021.0,330.0,4011810.0,12157.0,330.0,3986150.0,11389.0,350.0,0.09632039788595592,0.09632575057024839
2018-9-15,3637893.3333333335,10814.0,3,10913680.0,32442.0,1010,"HOI CHEONG BLDG,WO YI HOP RD|海昌大樓,和宜合道",3617460.0,10962.0,330.0,3659370.0,11089.0,330.0,3636850.0,10391.0,350.0,-0.07924744790348426,-0.07924164159618541
2018-8-15,3951000.0,11744.666666666666,3,11853000.0,35234.0,1010,"HOI CHEONG BLDG,WO YI HOP RD|海昌大樓,和宜合道",3927660.0,11902.0,330.0,3974190.0,12043.0,330.0,3951150.0,11289.0,350.0,0.0913349679265556,0.09134272882143413
