,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,2999675.3333333335,8188.0,3,8999026,24564,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3564006.0,7519.0,474.0,2685636.0,8289.0,324.0,2749384.0,8756.0,314.0,-0.014765015730431541,-0.014760147601475926
2019-11-15,3044629.3333333335,8310.666666666666,3,9133888,24932,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3617568.0,7632.0,474.0,2725488.0,8412.0,324.0,2790832.0,8888.0,314.0,0.08323661882767563,0.08324643726103576
2019-10-15,2810678.0,7672.0,3,8432034,23016,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3339804.0,7046.0,474.0,2515860.0,7765.0,324.0,2576370.0,8205.0,314.0,-0.08894603842229254,-0.08894430590191194
2019-9-15,3085084.0,8421.0,3,9255252,25263,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3665916.0,7734.0,474.0,2761452.0,8523.0,324.0,2827884.0,9006.0,314.0,-0.0036416954100944032,-0.0036284756458291323
2019-8-15,3096360.0,8451.666666666666,3,9289080,25355,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3679662.0,7763.0,474.0,2771172.0,8553.0,324.0,2838246.0,9039.0,314.0,0.009949367061082404,0.00995817566221846
2019-7-15,3065856.6666666665,8368.333333333334,3,9197570,25105,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3643638.0,7687.0,474.0,2743632.0,8468.0,324.0,2810300.0,8950.0,314.0,-0.036462758351203606,-0.03646133179811928
2019-6-15,3181876.6666666665,8685.0,3,9545630,26055,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3781572.0,7978.0,474.0,2847312.0,8788.0,324.0,2916746.0,9289.0,314.0,0.011208471683370247,0.011216331599782636
2019-5-15,3146608.0,8588.666666666666,3,9439824,25766,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3739860.0,7890.0,474.0,2815560.0,8690.0,324.0,2884404.0,9186.0,314.0,0.021365326900342874,0.021365996749514338
2019-4-15,3080786.0,8409.0,3,9242358,25227,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3661650.0,7725.0,474.0,2756592.0,8508.0,324.0,2824116.0,8994.0,314.0,-0.012576185311395038,-0.012564584311883564
2019-3-15,3120024.0,8516.0,3,9360072,25548,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3708576.0,7824.0,474.0,2791584.0,8616.0,324.0,2859912.0,9108.0,314.0,0.020330807016595287,0.020328287870921224
2019-2-15,3057855.3333333335,8346.333333333334,3,9173566,25039,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3634632.0,7668.0,474.0,2735856.0,8444.0,324.0,2803078.0,8927.0,314.0,0.04037584136182959,0.040906256495531146
2019-1-15,2939183.3333333335,8018.333333333333,3,8817550,24055,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3504282.0,7393.0,474.0,2637360.0,8140.0,324.0,2675908.0,8522.0,314.0,0.015274571059720854,0.015278774321529465
2018-12-15,2894964.0,7897.666666666667,3,8684892,23693,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3451668.0,7282.0,474.0,2597508.0,8017.0,324.0,2635716.0,8394.0,314.0,-0.012756234717992587,-0.013408286487611831
2018-11-15,2932370.0,8005.0,3,8797110,24015,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3482478.0,7347.0,474.0,2620512.0,8088.0,324.0,2694120.0,8580.0,314.0,-0.01667265053986766,-0.01666530177708625
2018-10-15,2982089.3333333335,8140.666666666667,3,8946268,24422,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3541728.0,7472.0,474.0,2664576.0,8224.0,324.0,2739964.0,8726.0,314.0,-0.040181152065683734,-0.04046833254754045
2018-9-15,3106929.3333333335,8484.0,3,9320788,25452,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3681558.0,7767.0,474.0,2790936.0,8614.0,324.0,2848294.0,9071.0,314.0,-0.05687322432438058,-0.056879238151702594
2018-8-15,3294286.0,8995.666666666666,3,9882858,26987,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3903390.0,8235.0,474.0,2959416.0,9134.0,324.0,3020052.0,9618.0,314.0,0.0030156871755857573,0.003010480933620663
2018-7-15,3284381.3333333335,8968.666666666666,3,9853144,26906,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3891540.0,8210.0,474.0,2950344.0,9106.0,324.0,3011260.0,9590.0,314.0,0.06621910574384282,0.06621755498315829
2018-6-15,3080400.0,8411.666666666666,3,9241200,25235,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3649800.0,7700.0,474.0,2767284.0,8541.0,324.0,2824116.0,8994.0,314.0,0.026324241695960593,0.02631364893443955
2018-5-15,3001390.6666666665,8196.0,3,9004172,24588,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3555948.0,7502.0,474.0,2696328.0,8322.0,324.0,2751896.0,8764.0,314.0,0.009313666366105311,0.009318172488814058
2018-4-15,2973694.6666666665,8120.333333333333,3,8921084,24361,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3523242.0,7433.0,474.0,2671380.0,8245.0,324.0,2726462.0,8683.0,314.0,0.01789102632708528,0.0178832574269836
2018-3-15,2921427.3333333335,7977.666666666667,3,8764282,23933,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3461148.0,7302.0,474.0,2624400.0,8100.0,324.0,2678734.0,8531.0,314.0,0.012832418839648474,0.012822683030046633
2018-2-15,2884413.3333333335,7876.666666666667,3,8653240,23630,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3417066.0,7209.0,474.0,2591352.0,7998.0,324.0,2644822.0,8423.0,314.0,-0.015387206191748937,-0.013772954924874736
2018-1-15,2929490.0,7986.666666666667,3,8788470,23960,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3508074.0,7401.0,474.0,2620188.0,8087.0,324.0,2660208.0,8472.0,314.0,0.08959816707352908,0.0895861755343339
2017-12-15,2688596.6666666665,7330.0,3,8065790,21990,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3219408.0,6792.0,474.0,2404404.0,7421.0,324.0,2441978.0,7777.0,314.0,-0.006224258616109757,-0.006191530709088511
2017-11-15,2705436.0,7375.666666666667,3,8116308,22127,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3240264.0,6836.0,474.0,2419308.0,7467.0,324.0,2456736.0,7824.0,314.0,-0.02745012515891998,-0.027170806770718814
2017-10-15,2781796.6666666665,7581.666666666667,3,8345390,22745,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3338856.0,7044.0,474.0,2476008.0,7642.0,324.0,2530526.0,8059.0,314.0,0.05571805586935352,0.05579538597224154
2017-9-15,2634980.6666666665,7181.0,3,7904942,21543,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3161106.0,6669.0,474.0,2378160.0,7340.0,324.0,2365676.0,7534.0,314.0,0.006802237626430729,0.0068704430734716215
2017-8-15,2617178.0,7132.0,3,7851534,21396,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3141198.0,6627.0,474.0,2360988.0,7287.0,324.0,2349348.0,7482.0,314.0,-0.023125626135005684,-0.023058307839824654
2017-7-15,2679134.6666666665,7300.333333333333,3,8037404,21901,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3217038.0,6787.0,474.0,2416068.0,7457.0,324.0,2404298.0,7657.0,314.0,-0.048091636323670084,-0.04803094844823097
2017-6-15,2814488.0,7668.666666666667,3,8443464,23006,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3381042.0,7133.0,474.0,2536920.0,7830.0,324.0,2525502.0,8043.0,314.0,0.03326861329339681,0.03332734459216691
2017-5-15,2723868.6666666665,7421.333333333333,3,8171606,22264,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3273444.0,6906.0,474.0,2454300.0,7575.0,324.0,2443862.0,7783.0,314.0,-0.006653022682273191,0.0
2017-4-15,2742112.0,7421.333333333333,3,8226336,22264,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3440766.0,7259.0,474.0,2397600.0,7400.0,324.0,2387970.0,7605.0,314.0,0.04569577622770171,0.04570006105866331
2017-3-15,2622284.6666666665,7097.0,3,7866854,21291,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3290508.0,6942.0,474.0,2292624.0,7076.0,324.0,2283722.0,7273.0,314.0,0.059768724455017797,0.05978098556495759
2017-2-15,2474393.3333333335,6696.666666666667,3,7423180,20090,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3105174.0,6551.0,474.0,2163024.0,6676.0,324.0,2154982.0,6863.0,314.0,-0.048885558709488186,-0.04885900956348832
2017-1-15,2601572.6666666665,7040.666666666667,3,7804718,21122,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3265386.0,6889.0,474.0,2273508.0,7017.0,324.0,2265824.0,7216.0,314.0,0.061509380790569335,0.061513719971856506
2016-12-15,2450824.0,6632.666666666667,3,7352472,19898,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3076260.0,6490.0,474.0,2141640.0,6610.0,324.0,2134572.0,6798.0,314.0,-0.011447222576278504,-0.011426868044514982
2016-11-15,2479204.0,6709.333333333333,3,7437612,20128,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3112284.0,6566.0,474.0,2166264.0,6686.0,324.0,2159064.0,6876.0,314.0,-0.011988533261776846,-0.011637613552663906
2016-10-15,2509286.6666666665,6788.333333333333,3,7527860,20365,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3156366.0,6659.0,474.0,2197044.0,6781.0,324.0,2174450.0,6925.0,314.0,-0.013582880889490223,-0.013419242321480618
2016-9-15,2543839.3333333335,6880.666666666667,3,7631518,20642,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3202818.0,6757.0,474.0,2229444.0,6881.0,324.0,2199256.0,7004.0,314.0,0.04160685101760997,0.0416309229449463
2016-8-15,2442226.0,6605.666666666667,3,7326678,19817,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",3075312.0,6488.0,474.0,2140344.0,6606.0,324.0,2111022.0,6723.0,314.0,0.04114811839057886,0.041027526791342916
2016-7-15,2345704.6666666665,6345.333333333333,3,7037114,19036,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",2951598.0,6227.0,474.0,2057076.0,6349.0,324.0,2028440.0,6460.0,314.0,0.012339786193617863,0.012337800467985494
2016-6-15,2317112.0,6268.0,3,6951336,18804,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",2915574.0,6151.0,474.0,2032128.0,6272.0,324.0,2003634.0,6381.0,314.0,0.025905405201978926,0.025915216323858292
2016-5-15,2258602.0,6109.666666666667,3,6775806,18329,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",2842104.0,5996.0,474.0,1980936.0,6114.0,324.0,1952766.0,6219.0,314.0,-0.02019276263808223,-0.02020633987277487
2016-4-15,2305149.3333333335,6235.666666666667,3,6915448,18707,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",2900406.0,6119.0,474.0,2022084.0,6241.0,324.0,1992958.0,6347.0,314.0,-0.015002610821763573,-0.015006318449873657
2016-3-15,2340259.3333333335,6330.666666666667,3,7020778,18992,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",2944488.0,6212.0,474.0,2053188.0,6337.0,324.0,2023102.0,6443.0,314.0,-0.005558622905140975,-0.005550319405173254
2016-2-15,2353340.6666666665,6366.0,3,7060022,19098,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",2961078.0,6247.0,474.0,2064852.0,6373.0,324.0,2034092.0,6478.0,314.0,0.006764121890520114,0.006906732746349009
2016-1-15,2337529.3333333335,6322.333333333333,3,7012588,18967,1112,"HOI TIN BLDG,HAI TAN ST|海天大樓,海壇街",2944488.0,6212.0,474.0,2042172.0,6303.0,324.0,2025928.0,6452.0,314.0,,
