,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,3761478.125,12861.25,8,30091825.0,102890.0,2340,"HONLEY COURT,TUEN MUN HEUNG SZE WUI RD|康利中心,屯門鄉事會路",3657115.0,12397.0,295.0,3905210.0,13238.0,295.0,3872660.0,13354.0,290.0,3667340.0,12646.0,290.0,3727620.0,12636.0,295.0,3679830.0,12474.0,295.0,3852360.0,13284.0,290.0,3729690.0,12861.0,290.0,-0.030674130248686704,-0.030674731030844282
2019-11-15,3880509.375,13268.25,8,31044075.0,106146.0,2340,"HONLEY COURT,TUEN MUN HEUNG SZE WUI RD|康利中心,屯門鄉事會路",3773639.9999999995,12792.0,295.0,4028520.0,13656.0,295.0,3995910.0000000005,13779.0,290.0,3783340.0000000005,13046.0,290.0,3846505.0,13039.0,295.0,3793700.0,12860.0,295.0,3975610.0,13709.0,290.0,3846850.0000000005,13265.0,290.0,-0.010514769172465077,-0.010515129481514673
2019-10-15,3921745.625,13409.25,8,31373965.0,107274.0,2340,"HONLEY COURT,TUEN MUN HEUNG SZE WUI RD|康利中心,屯門鄉事會路",3817595.0,12941.0,295.0,4073950.0000000005,13810.0,295.0,4041730.0000000005,13937.0,290.0,3820749.9999999995,13175.0,290.0,3885740.0,13172.0,295.0,3828510.0000000005,12978.0,295.0,4016500.0,13850.0,290.0,3889190.0,13411.0,290.0,-0.0016842262017930931,-0.0016844260388069188
2019-9-15,3928361.875,13431.875,8,31426895.0,107455.0,2340,"HONLEY COURT,TUEN MUN HEUNG SZE WUI RD|康利中心,屯門鄉事會路",3824970.0,12966.0,295.0,4080145.0,13831.0,295.0,4048980.0000000005,13962.0,290.0,3827710.0000000005,13199.0,290.0,3893410.0,13198.0,295.0,3833230.0,12994.0,295.0,4023750.0,13875.0,290.0,3894700.0,13430.0,290.0,-0.04500584889150627,-0.04503968077637466
2019-8-15,4113493.125,14065.375,8,32907945.0,112523.0,2340,"HONLEY COURT,TUEN MUN HEUNG SZE WUI RD|康利中心,屯門鄉事會路",4021735.0,13633.0,295.0,4137080.0,14024.0,295.0,4257490.0,14681.0,290.0,4024910.0,13879.0,290.0,4113775.0,13945.0,295.0,4027635.0,13653.0,295.0,4231970.0,14593.0,290.0,4093350.0,14115.0,290.0,0.025024334556939642,0.02502368459408255
2019-7-15,4013068.75,13722.0,8,32104550.0,109776.0,2340,"HONLEY COURT,TUEN MUN HEUNG SZE WUI RD|康利中心,屯門鄉事會路",3923500.0,13300.0,295.0,4035895.0000000005,13681.0,295.0,4153959.9999999995,14324.0,290.0,3926890.0,13541.0,290.0,4015245.0000000005,13611.0,295.0,3926450.0,13310.0,295.0,4130180.0,14242.0,290.0,3992430.0,13767.0,290.0,0.0010564169691495984,0.0010669438896944161
2019-6-15,4008833.75,13707.375,8,32070670.0,109659.0,2340,"HONLEY COURT,TUEN MUN HEUNG SZE WUI RD|康利中心,屯門鄉事會路",3914355.0,13269.0,295.0,4067459.9999999995,13788.0,295.0,4144680.0,14292.0,290.0,3917900.0,13510.0,290.0,4007575.0000000005,13585.0,295.0,3914650.0,13270.0,295.0,4122060.0,14214.0,290.0,3981990.0,13731.0,290.0,-0.00910020639452247,-0.009099452406339803
2019-5-15,4045650.0,13833.25,8,32365200.0,110666.0,2340,"HONLEY COURT,TUEN MUN HEUNG SZE WUI RD|康利中心,屯門鄉事會路",3949755.0,13389.0,295.0,4109350.0,13930.0,295.0,4182670.0,14423.0,290.0,3953569.9999999995,13633.0,290.0,4045335.0,13713.0,295.0,3947100.0,13380.0,295.0,4160920.0,14348.0,290.0,4016500.0,13850.0,290.0,0.04168953176883994,0.041689806752826186
2019-4-15,3883738.75,13279.625,8,31069910.0,106237.0,2340,"HONLEY COURT,TUEN MUN HEUNG SZE WUI RD|康利中心,屯門鄉事會路",3791339.9999999995,12852.0,295.0,3945035.0,13373.0,295.0,4015340.0,13846.0,290.0,3795230.0,13087.0,290.0,3884855.0,13169.0,295.0,3788389.9999999995,12842.0,295.0,3995330.0,13777.0,290.0,3854389.9999999995,13291.0,290.0,0.008906622288068489,0.008907966837292003
2019-3-15,3849453.125,13162.375,8,30795625.0,105299.0,2340,"HONLEY COURT,TUEN MUN HEUNG SZE WUI RD|康利中心,屯門鄉事會路",3758300.0,12740.0,295.0,3911110.0,13258.0,295.0,3980829.9999999995,13727.0,290.0,3760430.0,12967.0,290.0,3852700.0000000005,13060.0,295.0,3753875.0,12725.0,295.0,3958790.0000000005,13651.0,290.0,3819590.0,13171.0,290.0,0.04239864956348427,0.04239922388532502
