,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,19281950.6,20569.4,5,96409753,102847,4661,"KAM FAI MANS,MACDONNELL RD|錦輝大廈,麥當勞道",22669713.0,20817.0,1089.0,21276747.0,20637.0,1031.0,21386205.0,20663.0,1035.0,19629456.0,21714.0,904.0,11447632.0,19016.0,602.0,-0.06372769639442266,-0.06372499931723219
2019-11-15,20594383.2,21969.4,5,102971916,109847,4661,"KAM FAI MANS,MACDONNELL RD|錦輝大廈,麥當勞道",24213915.0,22235.0,1089.0,22725302.0,22042.0,1031.0,22841415.0,22069.0,1035.0,20964664.0,23191.0,904.0,12226620.0,20310.0,602.0,0.026287592964034046,0.026290956994571957
2019-10-15,20066873.4,21406.6,5,100334367,107033,4661,"KAM FAI MANS,MACDONNELL RD|錦輝大廈,麥當勞道",23594274.0,21666.0,1089.0,22142787.0,21477.0,1031.0,22256640.0,21504.0,1035.0,20427688.0,22597.0,904.0,11912978.0,19789.0,602.0,-0.011671481369439185,-0.011671606785044975
2019-9-15,20303849.4,21659.4,5,101519247,108297,4661,"KAM FAI MANS,MACDONNELL RD|錦輝大廈,麥當勞道",23873058.0,21922.0,1089.0,22404661.0,21731.0,1031.0,22519530.0,21758.0,1035.0,20668152.0,22863.0,904.0,12053846.0,20023.0,602.0,-0.03951537968956764,-0.03951149425287359
2019-8-15,21139171.8,22550.4,5,105695859,112752,4661,"KAM FAI MANS,MACDONNELL RD|錦輝大廈,麥當勞道",24856425.0,22825.0,1089.0,23326375.0,22625.0,1031.0,23445855.0,22653.0,1035.0,21517912.0,23803.0,904.0,12549292.0,20846.0,602.0,0.008947798899871628,0.008948385711217588
2019-7-15,20951700.2,22350.4,5,104758501,111752,4661,"KAM FAI MANS,MACDONNELL RD|錦輝大廈,麥當勞道",24636447.0,22623.0,1089.0,23119144.0,22424.0,1031.0,23237820.0,22452.0,1035.0,21327168.0,23592.0,904.0,12437922.0,20661.0,602.0,0.005107527560042513,0.005153850997040799
2019-6-15,20845232.6,22235.8,5,104226163,111179,4661,"KAM FAI MANS,MACDONNELL RD|錦輝大廈,麥當勞道",24516657.0,22513.0,1089.0,23006765.0,22315.0,1031.0,23125005.0,22343.0,1035.0,21207840.0,23460.0,904.0,12369896.0,20548.0,602.0,-0.008010172557762485,-0.008003497626610567
2019-5-15,21013554.8,22415.2,5,105067774,112076,4661,"KAM FAI MANS,MACDONNELL RD|錦輝大廈,麥當勞道",24715944.0,22696.0,1089.0,23193376.0,22496.0,1031.0,23312340.0,22524.0,1035.0,21376888.0,23647.0,904.0,12469226.0,20713.0,602.0,0.04006967416669771,0.040023013464732804
2019-4-15,20203987.6,21552.6,5,101019938,107763,4661,"KAM FAI MANS,MACDONNELL RD|錦輝大廈,麥當勞道",23758713.0,21817.0,1089.0,22295375.0,21625.0,1031.0,22409820.0,21652.0,1035.0,20562384.0,22746.0,904.0,11993646.0,19923.0,602.0,0.023222899673672748,0.023176544311729552
2019-3-15,19745441.2,21064.4,5,98727206,105322,4661,"KAM FAI MANS,MACDONNELL RD|錦輝大廈,麥當勞道",23215302.0,21318.0,1089.0,21785030.0,21130.0,1031.0,21896460.0,21156.0,1035.0,20104056.0,22239.0,904.0,11726358.0,19479.0,602.0,0.021461753653533755,0.022107061061294342
