,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,3719564.2562312745,8633.666666666666,3,11158692.768693823,25901.0,1273,"KAM SING MANS,SHAU KEI WAN RD|金星樓,筲箕灣道",3879876.0,8778.0,442.0,3990872.9718864267,8844.0,442.0,3287943.796807398,8279.0,389.0,-0.17581435329126294,-0.04406717106477209
2019-11-15,4513017.511388122,9031.666666666666,3,13539052.534164365,27095.0,1273,"KAM SING MANS,SHAU KEI WAN RD|金星樓,筲箕灣道",4707300.0,10650.0,442.0,4841359.5600721985,8492.0,442.0,3990392.9740921673,7953.0,389.0,0.044099177879393325,-3.6905816356735954e-05
2019-10-15,4322403.088712548,9032.0,3,12967209.266137643,27096.0,1273,"KAM SING MANS,SHAU KEI WAN RD|金星樓,筲箕灣道",4527848.0,10244.0,442.0,4599343.909876851,8648.0,442.0,3840017.3562607914,8204.0,389.0,-0.05778408574318605,-0.10015940488841668
2019-9-15,4587486.820493692,10037.333333333334,3,13762460.461481076,30112.0,1273,"KAM SING MANS,SHAU KEI WAN RD|金星樓,筲箕灣道",4816916.0,10898.0,442.0,4851392.0,10976.0,442.0,4094152.4614810757,8238.0,389.0,0.09760803795777373,0.020607375271149753
2019-8-15,4179531.0,9834.666666666666,3,12538593.0,29504.0,1273,"KAM SING MANS,SHAU KEI WAN RD|金星樓,筲箕灣道",4411160.0,9980.0,442.0,4441658.0,10049.0,442.0,3685775.0,9475.0,389.0,-0.037422665620456486,-0.03742129131186589
2019-7-15,4342021.0,10217.0,3,13026063.0,30651.0,1273,"KAM SING MANS,SHAU KEI WAN RD|金星樓,筲箕灣道",4583098.0,10369.0,442.0,4614038.0,10439.0,442.0,3828927.0,9843.0,389.0,-0.0018952864031762662,-0.0018886971246214745
2019-6-15,4350266.0,10236.333333333334,3,13050798.0,30709.0,1273,"KAM SING MANS,SHAU KEI WAN RD|金星樓,筲箕灣道",4592380.0,10390.0,442.0,4622878.0,10459.0,442.0,3835540.0,9860.0,389.0,-0.034218327461665754,-0.034217064502940486
2019-5-15,4504399.0,10599.0,3,13513197.0,31797.0,1273,"KAM SING MANS,SHAU KEI WAN RD|金星樓,筲箕灣道",4755478.0,10759.0,442.0,4786418.0,10829.0,442.0,3971300.9999999995,10209.0,389.0,0.020667131787407422,0.02067216640451952
2019-4-15,4413191.0,10384.333333333334,3,13239573.0,31153.0,1273,"KAM SING MANS,SHAU KEI WAN RD|金星樓,筲箕灣道",4659564.0,10542.0,442.0,4689620.0,10610.0,442.0,3890389.0,10001.0,389.0,0.015421871926169395,0.015152502606882168
2019-3-15,4346165.0,10229.333333333334,3,13038495.0,30688.0,1273,"KAM SING MANS,SHAU KEI WAN RD|金星樓,筲箕灣道",4573816.0,10348.0,442.0,4606966.0,10423.0,442.0,3857713.0,9917.0,389.0,0.04398042983329442,0.043951558035106864
2019-2-15,4163071.3333333335,9798.666666666666,3,12489214.0,29396.0,1273,"KAM SING MANS,SHAU KEI WAN RD|金星樓,筲箕灣道",4374474.0,9897.0,442.0,4416906.0,9993.0,442.0,3697834.0,9506.0,389.0,0.011035225178352981,0.011040412725709325
