,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,lumpSum_change,npsf_change
2019-12-15,4971040.0,11111.833333333334,18,89478720,200013,8098,"KING TSUI COURT(Block A),FUNG HA RD|景翠苑A座,峰霞道",4911084.0,11061.0,444.0,4660964.0,11396.0,409.0,4416335.0,11471.0,385.0,5825696.0,10709.0,544.0,5780544.0,10626.0,544.0,4479475.0,11635.0,385.0,4660964.0,11396.0,409.0,6395012.0,10694.0,598.0,4271360.0,11360.0,376.0,4902238.0,11066.0,443.0,4322120.0,11495.0,376.0,6055634.0,10699.0,566.0,4321944.0,11556.0,374.0,4439435.0,11531.0,385.0,4869899.0,10993.0,443.0,4902238.0,11066.0,443.0,4148032.0,11032.0,376.0,6115746.0,10227.0,598.0,0.02700960264271668,0.026971657424522455
2019-11-15,4840305.277777778,10820.0,18,87125495,194760,8098,"KING TSUI COURT(Block A),FUNG HA RD|景翠苑A座,峰霞道",4782324.0,10771.0,444.0,4539082.0,11098.0,409.0,4300835.0,11171.0,385.0,5670112.0,10423.0,544.0,5626592.0,10343.0,544.0,4362435.0,11331.0,385.0,4539082.0,11098.0,409.0,6225180.0,10410.0,598.0,4159312.0,11062.0,376.0,4774211.0,10777.0,443.0,4208944.0,11194.0,376.0,5894890.0,10415.0,566.0,4208622.0,11253.0,374.0,4323165.0,11229.0,385.0,4742758.0,10706.0,443.0,4774211.0,10777.0,443.0,4041248.0,10748.0,376.0,5952492.0,9954.0,598.0,0.009883893395627563,0.00983599757340703
2019-10-15,4792932.444444444,10714.611111111111,18,86272784,192863,8098,"KING TSUI COURT(Block A),FUNG HA RD|景翠苑A座,峰霞道",4736148.0,10667.0,444.0,4495319.0,10991.0,409.0,4285050.0,11130.0,385.0,5612448.0,10317.0,544.0,5569472.0,10238.0,544.0,4320085.0,11221.0,385.0,4495319.0,10991.0,409.0,6160596.0,10302.0,598.0,4118704.0,10954.0,376.0,4728139.0,10673.0,443.0,4168336.0,11086.0,376.0,5834328.0,10308.0,566.0,4147286.0,11089.0,374.0,4281585.0,11121.0,385.0,4696686.0,10602.0,443.0,4728139.0,10673.0,443.0,4003648.0,10648.0,376.0,5891496.0,9852.0,598.0,0.008878015451882382,0.008824329413734011
2019-9-15,4750755.166666667,10620.888888888889,18,85513593,191176,8098,"KING TSUI COURT(Block A),FUNG HA RD|景翠苑A座,峰霞道",4695744.0,10576.0,444.0,4457282.0,10898.0,409.0,4249245.0,11037.0,385.0,5561856.0,10224.0,544.0,5519968.0,10147.0,544.0,4283510.0,11126.0,385.0,4457282.0,10898.0,409.0,6101992.0,10204.0,598.0,4082984.0,10859.0,376.0,4687383.0,10581.0,443.0,4132616.0,10991.0,376.0,5778860.0,10210.0,566.0,4110260.0,10990.0,374.0,4245010.0,11026.0,385.0,4655930.0,10510.0,443.0,4687383.0,10581.0,443.0,3969808.0,10558.0,376.0,5836480.0,9760.0,598.0,-0.09462793466099195,-0.0946777225823866
2019-8-15,5247295.944444444,11731.611111111111,18,94451327,211169,8098,"KING TSUI COURT(Block A),FUNG HA RD|景翠苑A座,峰霞道",5187696.0,11684.0,444.0,4924360.0,12040.0,409.0,4695845.0,12197.0,385.0,6141760.0,11290.0,544.0,6096064.0,11206.0,544.0,4732805.0,12293.0,385.0,4924360.0,12040.0,409.0,6735274.0,11263.0,598.0,4510120.0,11995.0,376.0,5178670.0,11690.0,443.0,4565392.0,12142.0,376.0,6377688.0,11268.0,566.0,4539612.0,12138.0,374.0,4690070.0,12182.0,385.0,5143673.0,11611.0,443.0,5178670.0,11690.0,443.0,4386416.0,11666.0,376.0,6442852.0,10774.0,598.0,0.1163096265395771,0.11592058467603428
2019-7-15,4700573.944444444,10512.944444444445,18,84610331,189233,8098,"KING TSUI COURT(Block A),FUNG HA RD|景翠苑A座,峰霞道",4641132.0,10453.0,444.0,4405748.0,10772.0,409.0,4201890.0,10914.0,385.0,5492224.0,10096.0,544.0,5451424.0,10021.0,544.0,4234615.0,10999.0,385.0,4405748.0,10772.0,409.0,6019468.0,10066.0,598.0,4034480.0,10730.0,376.0,4632894.0,10458.0,443.0,4084488.0,10863.0,376.0,5700752.0,10072.0,566.0,4060144.0,10856.0,374.0,4196115.0,10899.0,385.0,4601441.0,10387.0,443.0,4632894.0,10458.0,443.0,4055536.0,10786.0,376.0,5759338.0,9631.0,598.0,-0.017773014906829587,-0.018017176513323463
2019-6-15,4785629.0,10705.833333333334,18,86141322,192705,8098,"KING TSUI COURT(Block A),FUNG HA RD|景翠苑A座,峰霞道",4721052.0,10633.0,444.0,4482231.0,10959.0,409.0,4275810.0,11106.0,385.0,5584704.0,10266.0,544.0,5543904.0,10191.0,544.0,4307765.0,11189.0,385.0,4482231.0,10959.0,409.0,6117540.0,10230.0,598.0,4103288.0,10913.0,376.0,4713077.0,10639.0,443.0,4245416.0,11291.0,376.0,5793576.0,10236.0,566.0,4128960.0,11040.0,374.0,4268880.0,11088.0,385.0,4680295.0,10565.0,443.0,4713077.0,10639.0,443.0,4125096.0,10971.0,376.0,5854420.0,9790.0,598.0,-0.08315036535375686,-0.08318664065845183
2019-5-15,5219644.333333333,11677.222222222223,18,93953598,210190,8098,"KING TSUI COURT(Block A),FUNG HA RD|景翠苑A座,峰霞道",5150400.0,11600.0,444.0,4890004.0,11956.0,409.0,4665815.0,12119.0,385.0,6090080.0,11195.0,544.0,6045472.0,11113.0,544.0,4700465.0,12209.0,385.0,4890004.0,11956.0,409.0,6668896.0,11152.0,598.0,4475528.0,11903.0,376.0,5141458.0,11606.0,443.0,4630440.0,12315.0,376.0,6315428.0,11158.0,566.0,4502586.0,12039.0,374.0,4657345.0,12097.0,385.0,5105575.0,11525.0,443.0,5141458.0,11606.0,443.0,4499592.0,11967.0,376.0,6383052.0,10674.0,598.0,0.06112717975496107,0.06000242067254358
2019-4-15,4918962.055555556,11016.222222222223,18,88541317,198292,8098,"KING TSUI COURT(Block A),FUNG HA RD|景翠苑A座,峰霞道",4877340.0,10985.0,444.0,4631516.0,11324.0,409.0,4419800.0,11480.0,385.0,5642368.0,10372.0,544.0,5584704.0,10266.0,544.0,4452525.0,11565.0,385.0,4631516.0,11324.0,409.0,6137274.0,10263.0,598.0,4237896.0,11271.0,376.0,4885404.0,11028.0,443.0,4384912.0,11662.0,376.0,5976960.0,10560.0,566.0,4262104.0,11396.0,374.0,4410945.0,11457.0,385.0,4834459.0,10913.0,443.0,4868570.0,10990.0,443.0,4260832.0,11332.0,376.0,6042192.0,10104.0,598.0,0.017407545096573607,0.017445559591979132
2019-3-15,4834800.055555556,10827.333333333334,18,87026401,194892,8098,"KING TSUI COURT(Block A),FUNG HA RD|景翠苑A座,峰霞道",4790760.0,10790.0,444.0,4549716.0,11124.0,409.0,4312000.0,11200.0,385.0,5628768.0,10347.0,544.0,5584160.0,10265.0,544.0,4374370.0,11362.0,385.0,4549716.0,11124.0,409.0,6025448.0,10076.0,598.0,4174728.0,11103.0,376.0,4794146.0,10822.0,443.0,4306704.0,11454.0,376.0,5867156.0,10366.0,566.0,4185060.0,11190.0,374.0,4333175.0,11255.0,385.0,4748517.0,10719.0,443.0,4782185.0,10795.0,443.0,4197664.0,11164.0,376.0,5822128.0,9736.0,598.0,0.05053370236520505,0.05074401552728047
