,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_2,npsf_2,nfa_2,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_change,npsf_change
2016-1-15,19887326.666666668,12836.666666666666,3,59661980.0,38510,4646.0,"LA CLARE MANSION(Block B),POK FU LAM RD|利嘉大廈B座,薄扶林道",19448116.0,12778.0,1522.0,21021444.0,13122.0,1602.0,19192420.0,12610.0,1522.0,0.030393919337099007,0.030395462085942127
2016-2-15,19300702.666666668,12458.0,3,57902108.0,37374,4646.0,"LA CLARE MANSION(Block B),POK FU LAM RD|利嘉大廈B座,薄扶林道",18874322.0,12401.0,1522.0,20403072.0,12736.0,1602.0,18624714.0,12237.0,1522.0,-0.0014973889848650668,-0.0014961261020570715
2016-3-15,19329646.666666668,12476.666666666666,3,57988940.0,37430,4646.0,"LA CLARE MANSION(Block B),POK FU LAM RD|利嘉大廈B座,薄扶林道",18903240.0,12420.0,1522.0,20435112.0,12756.0,1602.0,18650588.0,12254.0,1522.0,0.00723642864361107,0.0072387718306825555
2016-4-15,19190774.0,12387.0,3,57572322.0,37161,4646.0,"LA CLARE MANSION(Block B),POK FU LAM RD|利嘉大廈B座,薄扶林道",18766260.0,12330.0,1522.0,20290932.0,12666.0,1602.0,18515130.0,12165.0,1522.0,-0.011177010519642372,-0.011175860142093041
2016-5-15,19407694.0,12527.0,3,58223082.0,37581,4646.0,"LA CLARE MANSION(Block B),POK FU LAM RD|利嘉大廈B座,薄扶林道",18979340.0,12470.0,1522.0,20521620.0,12810.0,1602.0,18722122.0,12301.0,1522.0,0.004408155790329049,0.004409878127004552
2016-6-15,19322517.333333332,12472.0,3,57967552.0,37416,4646.0,"LA CLARE MANSION(Block B),POK FU LAM RD|利嘉大廈B座,薄扶林道",18895630.0,12415.0,1522.0,20433510.0,12755.0,1602.0,18638412.0,12246.0,1522.0,-0.01378758343391251,-0.013785286907931238
2016-7-15,19592652.666666668,12646.333333333334,3,58777958.0,37939,4646.0,"LA CLARE MANSION(Block B),POK FU LAM RD|利嘉大廈B座,薄扶林道",19158936.0,12588.0,1522.0,20721870.0,12935.0,1602.0,18897152.0,12416.0,1522.0,-0.015007596167371573,-0.015006360827686471
2016-8-15,19891171.333333332,12839.0,3,59673514.0,38517,4646.0,"LA CLARE MANSION(Block B),POK FU LAM RD|利嘉大廈B座,薄扶林道",19451160.0,12780.0,1522.0,21039066.0,13133.0,1602.0,19183288.0,12604.0,1522.0,-0.04889358585913173,-0.048892510556337476
2016-9-15,20913718.0,13499.0,3,62741154.0,40497,4646.0,"LA CLARE MANSION(Block B),POK FU LAM RD|利嘉大廈B座,薄扶林道",20451114.0,13437.0,1522.0,22122018.0,13809.0,1602.0,20168022.0,13251.0,1522.0,-0.01699314041789457,-0.01699152850935748
2016-10-15,21275251.333333332,13732.333333333334,3,63825754.0,41197,4646.0,"LA CLARE MANSION(Block B),POK FU LAM RD|利嘉大廈B座,薄扶林道",20804218.0,13669.0,1522.0,22506498.0,14049.0,1602.0,20515038.0,13479.0,1522.0,0.005759700695752157,0.005761578086472596
