,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_blank,npsf_blank,nfa_blank,lumpSum_change,npsf_change
2019-12-15,,,1,,,,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",,,,,
2019-11-15,,,1,,,,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",,,,,
2019-10-15,,,1,,,,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",,,,,
2019-9-15,,,1,,,,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",,,,,
2019-8-15,,,1,,,,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",,,,,
2019-7-15,,,1,,,,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",,,,,
2019-6-15,,,1,,,,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",,,,,
2019-5-15,,,1,,,,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",,,,,
2019-4-15,,,1,,,,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",,,,,
2019-3-15,12604425.0,12297.0,1,12604425,12297,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",12604425.0,12297.0,1025.0,-0.06749071054826727,-0.06749071054826727
2019-2-15,13516675.0,13187.0,1,13516675,13187,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",13516675.0,13187.0,1025.0,0.027825409197194118,0.027825409197194118
2019-1-15,13150750.0,12830.0,1,13150750,12830,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",13150750.0,12830.0,1025.0,0.2393740340030912,0.2393740340030912
2018-12-15,10610800.0,10352.0,1,10610800,10352,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",10610800.0,10352.0,1025.0,-0.21205662962399152,-0.21205662962399152
2018-11-15,13466450.0,13138.0,1,13466450,13138,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",13466450.0,13138.0,1025.0,0.03245579567779955,0.03245579567779955
2018-10-15,13043125.0,12725.0,1,13043125,12725,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",13043125.0,12725.0,1025.0,-0.030697745277269983,-0.030697745277269983
2018-9-15,13456200.0,13128.0,1,13456200,13128,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",13456200.0,13128.0,1025.0,0.061105722599418044,0.061105722599418044
2018-8-15,12681300.0,12372.0,1,12681300,12372,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",12681300.0,12372.0,1025.0,-0.06710903332830642,-0.06710903332830642
2018-7-15,13593550.0,13262.0,1,13593550,13262,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",13593550.0,13262.0,1025.0,0.06445140059394805,0.06445140059394805
2018-6-15,12770475.0,12459.0,1,12770475,12459,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",12770475.0,12459.0,1025.0,0.04416694602748916,0.04416694602748916
2018-5-15,12230300.0,11932.0,1,12230300,11932,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",12230300.0,11932.0,1025.0,-0.031336255885695774,-0.031336255885695774
2018-4-15,12625950.0,12318.0,1,12625950,12318,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",12625950.0,12318.0,1025.0,-0.001944579484686404,-0.001944579484686404
2018-3-15,12650550.0,12342.0,1,12650550,12342,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",12650550.0,12342.0,1025.0,-0.018918918918918948,-0.018918918918918948
2018-2-15,12894500.0,12580.0,1,12894500,12580,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",12894500.0,12580.0,1025.0,0.1098367887075431,0.1098367887075431
2018-1-15,11618375.0,11335.0,1,11618375,11335,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",11618375.0,11335.0,1025.0,-0.25696492953130123,-0.25696492953130123
2017-12-15,15636375.0,15255.0,1,15636375,15255,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",15636375.0,15255.0,1025.0,0.28333473542525445,0.28333473542525445
2017-11-15,12184175.0,11887.0,1,12184175,11887,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",12184175.0,11887.0,1025.0,0.07818594104308385,0.07818594104308385
2017-10-15,11300625.0,11025.0,1,11300625,11025,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",11300625.0,11025.0,1025.0,-0.03136531365313655,-0.03136531365313655
2017-9-15,11666550.0,11382.0,1,11666550,11382,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",11666550.0,11382.0,1025.0,-0.04729220724868166,-0.04729220724868166
2017-8-15,12245675.0,11947.0,1,12245675,11947,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",12245675.0,11947.0,1025.0,0.1037509238728751,0.1037509238728751
2017-7-15,11094600.0,10824.0,1,11094600,10824,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",11094600.0,10824.0,1025.0,-0.05722498040240398,-0.05722498040240398
2017-6-15,11768025.0,11481.0,1,11768025,11481,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",11768025.0,11481.0,1025.0,0.02481478175488716,0.02481478175488716
2017-5-15,11483075.0,11203.0,1,11483075,11203,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",11483075.0,11203.0,1025.0,0.0012512288855126563,0.0012512288855126563
2017-4-15,11468725.0,11189.0,1,11468725,11189,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",11468725.0,11189.0,1025.0,0.0420974201359785,0.0420974201359785
2017-3-15,11005425.0,10737.0,1,11005425,10737,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",11005425.0,10737.0,1025.0,-0.06398744660448086,-0.06398744660448086
2017-2-15,11757775.0,11471.0,1,11757775,11471,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",11757775.0,11471.0,1025.0,0.031843123144733365,0.031843123144733365
2017-1-15,11394925.0,11117.0,1,11394925,11117,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",11394925.0,11117.0,1025.0,0.12782793953535565,0.12782793953535565
2016-12-15,10103425.0,9857.0,1,10103425,9857,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",10103425.0,9857.0,1025.0,-0.03466849476055234,-0.03466849476055234
2016-11-15,10466275.0,10211.0,1,10466275,10211,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",10466275.0,10211.0,1025.0,-0.05750415359054828,-0.05750415359054828
2016-10-15,11104850.0,10834.0,1,11104850,10834,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",11104850.0,10834.0,1025.0,0.0421315890727203,0.0421315890727203
2016-9-15,10655900.0,10396.0,1,10655900,10396,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",10655900.0,10396.0,1025.0,0.057256178175531414,0.057256178175531414
2016-8-15,10078825.0,9833.0,1,10078825,9833,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",10078825.0,9833.0,1025.0,0.010378133990957661,0.010378133990957661
2016-7-15,9975300.0,9732.0,1,9975300,9732,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",9975300.0,9732.0,1025.0,-0.014281373442722622,-0.014281373442722622
2016-6-15,10119825.0,9873.0,1,10119825,9873,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",10119825.0,9873.0,1025.0,0.05695321700032108,0.05695321700032108
2016-5-15,9574525.0,9341.0,1,9574525,9341,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",9574525.0,9341.0,1025.0,-0.06196023297850972,-0.06196023297850972
2016-4-15,10206950.0,9958.0,1,10206950,9958,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",10206950.0,9958.0,1025.0,0.009324954388810092,0.009324954388810092
2016-3-15,10112650.0,9866.0,1,10112650,9866,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",10112650.0,9866.0,1025.0,0.10878849179590921,0.10878849179590921
2016-2-15,9120450.0,8898.0,1,9120450,8898,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",9120450.0,8898.0,1025.0,-0.03711719510875444,-0.03711719510875444
2016-1-15,9472025.0,9241.0,1,9472025,9241,1025,"LEIGYINN BLDG,LEIGHTON RD|禮賢大廈,禮頓道",9472025.0,9241.0,1025.0,,
