,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2016-1-15,15212283.0,16696.0,2,30424566.0,33392,1822.0,"LYTTELTON GARDEN(Block 1),LYTTELTON RD|俊賢花園1座,列堤頓道",15615456.0,16827.0,928.0,14809110.0,16565.0,894.0,0.011467697300185486,0.011786807259946075
2016-2-15,15039811.0,16501.5,2,30079622.0,33003,1822.0,"LYTTELTON GARDEN(Block 1),LYTTELTON RD|俊賢花園1座,列堤頓道",15692480.0,16910.0,928.0,14387142.0,16093.0,894.0,-0.016515553210741052,-0.01677292498361438
2016-3-15,15292373.0,16783.0,2,30584746.0,33566,1822.0,"LYTTELTON GARDEN(Block 1),LYTTELTON RD|俊賢花園1座,列堤頓道",15741664.0,16963.0,928.0,14843082.0,16603.0,894.0,0.005482414974142591,0.005481832070215464
2016-4-15,15208991.0,16691.5,2,30417982.0,33383,1822.0,"LYTTELTON GARDEN(Block 1),LYTTELTON RD|俊賢花園1座,列堤頓道",15655360.0,16870.0,928.0,14762622.0,16513.0,894.0,-0.012632904954645974,-0.012629399585921353
2016-5-15,15403583.0,16905.0,2,30807166.0,33810,1822.0,"LYTTELTON GARDEN(Block 1),LYTTELTON RD|俊賢花園1座,列堤頓道",15858592.0,17089.0,928.0,14948574.0,16721.0,894.0,-0.01346025310514809,-0.01316365546831677
2016-6-15,15613748.0,17130.5,2,31227496.0,34261,1822.0,"LYTTELTON GARDEN(Block 1),LYTTELTON RD|俊賢花園1座,列堤頓道",16326304.0,17593.0,928.0,14901192.0,16668.0,894.0,-0.014919721349136328,-0.0149223691776883
2016-7-15,15850229.0,17390.0,2,31700458.0,34780,1822.0,"LYTTELTON GARDEN(Block 1),LYTTELTON RD|俊賢花園1座,列堤頓道",16571296.0,17857.0,928.0,15129162.0,16923.0,894.0,-0.01612171460008971,-0.01612446958981617
2016-8-15,16109949.0,17675.0,2,32219898.0,35350,1822.0,"LYTTELTON GARDEN(Block 1),LYTTELTON RD|俊賢花園1座,列堤頓道",16840416.0,18147.0,928.0,15379482.0,17203.0,894.0,-0.0499328227841338,-0.04993549774242101
2016-9-15,16956642.0,18604.0,2,33913284.0,37208,1822.0,"LYTTELTON GARDEN(Block 1),LYTTELTON RD|俊賢花園1座,列堤頓道",17722944.0,19098.0,928.0,16190340.0,18110.0,894.0,-0.018101092381978212,-0.018103129783079153
2016-10-15,17269234.0,18947.0,2,34538468.0,37894,1822.0,"LYTTELTON GARDEN(Block 1),LYTTELTON RD|俊賢花園1座,列堤頓道",18047744.0,19448.0,928.0,16490724.0,18446.0,894.0,0.004642737384862317,0.004639571568705536
