,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,8217076.666666667,12294.666666666666,3,24651230.0,36884.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",8595008.0,11678.0,736.0,7993713.0,12549.0,637.0,8062509.0,12657.0,637.0,-0.020165770934852723,-0.02016311133544091
2019-11-15,8386190.666666667,12547.666666666666,3,25158572.0,37643.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",8772384.0,11919.0,736.0,8158059.0,12807.0,637.0,8228129.0,12917.0,637.0,0.017214666917076293,0.017213424850024195
2019-10-15,8244268.333333333,12335.333333333334,3,24732805.0,37006.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",8623712.0,11717.0,736.0,8019830.0,12590.0,637.0,8089263.0,12699.0,637.0,-0.02736238797649526,-0.02736089573422351
2019-9-15,8476197.333333334,12682.333333333334,3,25428592.0,38047.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",8866592.0,12047.0,736.0,8245328.0,12944.0,637.0,8316671.999999999,13056.0,637.0,-0.013152154129098315,-0.013150386470923925
2019-8-15,8589163.333333334,12851.333333333334,3,25767490.0,38554.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",8985088.0,12208.0,736.0,8354892.0,13116.0,637.0,8427510.0,13230.0,637.0,-0.0005495767359269266,-0.0005443940375891021
2019-7-15,8593886.333333334,12858.333333333334,3,25781659.0,38575.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",8990976.0,12216.0,736.0,8359350.999999999,13123.0,637.0,8431332.0,13236.0,637.0,0.01749770318028876,0.017514705494447558
2019-6-15,8446099.0,12637.0,3,25338297.0,37911.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",8839360.0,12010.0,736.0,8213478.0,12894.0,637.0,8285459.0,13007.0,637.0,-0.018423347908828047,-0.01840919683082176
2019-5-15,8604625.0,12874.0,3,25813875.0,38622.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",9007904.0,12239.0,736.0,8366358.0,13134.0,637.0,8439613.0,13249.0,637.0,0.015913323842142058,0.015887211320953387
2019-4-15,8469841.666666666,12672.666666666666,3,25409525.0,38018.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",8862176.0,12041.0,736.0,8237684.0,12932.0,637.0,8309665.0,13045.0,637.0,0.025578635340606892,0.02554557470799268
2019-3-15,8258598.0,12357.0,3,24775794.0,37071.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",8635488.0,11733.0,736.0,8035118.0,12614.0,637.0,8105188.0,12724.0,637.0,0.035847841149054815,0.03582106233758986
2019-2-15,7972790.666666667,11929.666666666666,3,23918372.0,35789.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",8332256.0,11321.0,736.0,7759297.0,12181.0,637.0,7826819.0,12287.0,637.0,0.008825206352960802,0.008794430194210223
2019-1-15,7903044.666666667,11825.666666666666,3,23709134.0,35477.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",8254240.000000001,11215.0,736.0,7693686.0,12078.0,637.0,7761208.0,12184.0,637.0,0.012038922278761355,0.012009356458238196
2018-12-15,7809032.333333333,11685.333333333334,3,23427097.0,35056.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",8151200.0,11075.0,736.0,7604506.0,11938.0,637.0,7671391.0,12043.0,637.0,0.000381797781174642,0.002258627097807109
2018-11-15,7806052.0,11659.0,3,23418156.0,34977.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",8458848.0,11493.0,736.0,6992349.0,10977.0,637.0,7966959.0,12507.0,637.0,-0.022249173491246554,-0.0222514186677103
2018-10-15,7983682.333333333,11924.333333333334,3,23951047.0,35773.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",8650944.0,11754.0,736.0,7150962.000000001,11226.0,637.0,8149141.0,12793.0,637.0,-0.03680607273859293,-0.03680667743672583
2018-9-15,8288759.0,12380.0,3,24866277.0,37140.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",8981408.0,12203.0,736.0,7424235.0,11655.0,637.0,8460634.0,13282.0,637.0,-0.026704769293124042,-0.026704054089467744
2018-8-15,8516181.666666666,12719.666666666666,3,25548545.0,38159.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",9227968.0,12538.0,736.0,7627438.0,11974.0,637.0,8693139.0,13647.0,637.0,0.010515417131098381,0.010513214342460664
2018-7-15,8427562.333333334,12587.333333333334,3,25282687.0,37762.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",9131552.0,12407.0,736.0,7547813.0,11849.0,637.0,8603322.0,13506.0,637.0,0.008520373436785134,0.008519616483722015
2018-6-15,8356363.0,12481.0,3,25069089.0,37443.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",9054272.0,12302.0,736.0,7483476.0,11748.0,637.0,8531341.0,13393.0,637.0,0.026796260408926464,0.02679208029397251
2018-5-15,8138287.333333333,12155.333333333334,3,24414862.0,36466.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",8817280.0,11980.0,736.0,7288554.0,11442.0,637.0,8309028.0,13044.0,637.0,0.021829011025896516,0.02182867710931169
2018-4-15,7964431.666666667,11895.666666666666,3,23893295.0,35687.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",8628864.0,11724.0,736.0,7132489.0,11197.0,637.0,8131942.0,12766.0,637.0,0.02070824991472131,0.020707605182621602
2018-3-15,7802848.333333333,11654.333333333334,3,23408545.0,34963.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",8453696.0,11486.0,736.0,6987253.000000001,10969.0,637.0,7967596.0,12508.0,637.0,0.011192143503347518,0.01119273484497918
2018-2-15,7716484.333333333,11525.333333333334,3,23149453.0,34576.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",8360223.999999999,11359.0,736.0,6909538.999999999,10847.0,637.0,7879690.0,12370.0,637.0,-0.2559203458418676,-0.1012217312191318
2018-1-15,10370508.439803973,12823.333333333334,3,31111525.31941192,38470.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",13045799.471918697,13749.0,736.0,10335093.847493222,12585.0,637.0,7730632.0,12136.0,637.0,0.012452649032595575,0.027675375327242735
2017-12-15,10242956.497484652,12478.0,3,30728869.492453955,37434.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",12885340.75861905,13286.0,736.0,10207809.733834906,12161.0,637.0,7635719.0,11987.0,637.0,0.011984680433693606,0.01323589118960622
2017-11-15,10121651.735967936,12315.0,3,30364955.20790381,36945.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",12732125.650498174,13104.0,736.0,10086927.557405638,11995.0,637.0,7545902.0,11846.0,637.0,-0.043225077348658436,-0.0032913373081177033
2017-10-15,10578926.659072112,12355.666666666666,3,31736779.977216337,37067.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",12306877.684898833,13125.0,736.0,9750658.927499574,12015.0,637.0,9679243.364817929,11927.0,637.0,-0.006244748382004062,0.01891200967591189
2017-9-15,10645404.531797836,12126.333333333334,3,31936213.59539351,36379.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",12324613.80802407,12816.0,736.0,9764600.802334944,11732.0,637.0,9846998.985034497,11831.0,637.0,0.006834449147979038,0.03176493944808434
2017-8-15,10573142.92414843,11753.0,3,31719428.772445288,35259.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",12240548.229010256,12421.0,736.0,9698500.33537962,11371.0,637.0,9780380.20805541,11467.0,637.0,0.016996429350854214,0.0074287836795337014
2017-7-15,10396440.556725686,11666.333333333334,3,31189321.67017706,34999.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",12032825.77040247,12326.0,736.0,9538115.036058545,11289.0,637.0,9618380.863716047,11384.0,637.0,0.0790361750234001,-0.10653017461452052
2017-6-15,9634932.356647104,13057.333333333334,3,28904797.069941312,39172.0,2010,"MAYFAIR BY THE SEA I(Block L9),FO CHUN RD|逸瓏灣IL9座,科進路",10432800.0,14175.0,736.0,8865766.0,13918.0,637.0,9606231.06994131,11079.0,637.0,-0.16567758900342033,-0.2404700042657152
