,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,4709967.625,11639.875,8,37679741.0,93119.0,3243,"MEE LEE BLDG,KAU HUI CHIK ST|美利大廈,舊墟直街",3824925.0,11769.0,325.0,4574495.0,11581.0,395.0,4975965.0,11439.0,435.0,5300526.0,11473.0,462.0,5293134.0,11457.0,462.0,5068185.0,11651.0,435.0,4599775.0,11645.0,395.0,4042736.0000000005,12104.0,334.0,-0.0501074056586055,-0.05010659893299063
2019-11-15,4958421.25,12253.875,8,39667370.0,98031.0,3243,"MEE LEE BLDG,KAU HUI CHIK ST|美利大廈,舊墟直街",4025124.9999999995,12385.0,325.0,4817025.0,12195.0,395.0,5238705.0,12043.0,435.0,5580960.0,12080.0,462.0,5573106.0,12063.0,462.0,5331795.0,12257.0,435.0,4843490.0,12262.0,395.0,4257164.0,12746.0,334.0,0.03724443382232012,0.037408990856755864
2019-10-15,4780378.75,11812.0,8,38243030.0,94496.0,3243,"MEE LEE BLDG,KAU HUI CHIK ST|美利大廈,舊墟直街",3863600.0,11888.0,325.0,4659420.0,11796.0,395.0,5096460.0,11716.0,435.0,5339796.0,11558.0,462.0,5332866.0,11543.0,462.0,5186070.0,11922.0,435.0,4691020.0,11876.0,395.0,4073797.9999999995,12197.0,334.0,-0.06152050589460267,-0.06206513216012066
2019-9-15,5093748.75,12593.625,8,40749990.0,100749.0,3243,"MEE LEE BLDG,KAU HUI CHIK ST|美利大廈,舊墟直街",4220125.0,12985.0,325.0,4950535.0,12533.0,395.0,5414010.0,12446.0,435.0,5690916.0,12318.0,462.0,5665506.0,12263.0,462.0,5508840.0,12664.0,435.0,4984110.0,12618.0,395.0,4315948.0,12922.0,334.0,0.0382419906489917,0.038253449715057064
2019-8-15,4906128.625,12129.625,8,39249029.0,97037.0,3243,"MEE LEE BLDG,KAU HUI CHIK ST|美利大廈,舊墟直街",4063149.9999999995,12502.0,325.0,4769230.0,12074.0,395.0,5215215.0,11989.0,435.0,5479782.0,11861.0,462.0,5457606.0,11813.0,462.0,5306130.0,12198.0,435.0,4801620.0,12156.0,395.0,4156296.0,12444.0,334.0,-0.03219380314019327,-0.03107370018672173
2019-7-15,5069329.625,12518.625,8,40554637.0,100149.0,3243,"MEE LEE BLDG,KAU HUI CHIK ST|美利大廈,舊墟直街",4052750.0000000005,12470.0,325.0,4938290.0,12502.0,395.0,5399220.0,12412.0,435.0,5745894.0,12437.0,462.0,5651184.0,12232.0,462.0,5493180.0,12628.0,435.0,4971865.0,12587.0,395.0,4302254.0,12881.0,334.0,0.07320881882540764,0.07322431308671606
2019-6-15,4723525.875,11664.5,8,37788207.0,93316.0,3243,"MEE LEE BLDG,KAU HUI CHIK ST|美利大廈,舊墟直街",3773900.0,11612.0,325.0,4602935.0,11653.0,395.0,5031645.0,11567.0,435.0,5351808.0,11584.0,462.0,5266800.0,11400.0,462.0,5118645.0,11767.0,435.0,4634140.0,11732.0,395.0,4008334.0,12001.0,334.0,-0.08010422993938093,-0.08017742730409072
2019-5-15,5134849.0,12681.25,8,41078792.0,101450.0,3243,"MEE LEE BLDG,KAU HUI CHIK ST|美利大廈,舊墟直街",4086550.0,12574.0,325.0,4987270.0,12626.0,395.0,5450985.0,12531.0,435.0,5794866.0,12543.0,462.0,5706162.0,12351.0,462.0,5544510.0,12746.0,435.0,5167785.0,13083.0,395.0,4340664.0,12996.0,334.0,0.039058124288614327,0.038712385710921504
2019-4-15,4941830.375,12208.625,8,39534643.0,97669.0,3243,"MEE LEE BLDG,KAU HUI CHIK ST|美利大廈,舊墟直街",3919175.0,12059.0,325.0,4785425.0,12115.0,395.0,5229570.0,12022.0,435.0,5556474.0,12027.0,462.0,5475162.0,11851.0,462.0,5319180.0,12228.0,435.0,5031905.0,12739.0,395.0,4217752.0,12628.0,334.0,0.033808416194342605,0.03381882846074058
2019-3-15,4780218.75,11809.25,8,38241750.0,94474.0,3243,"MEE LEE BLDG,KAU HUI CHIK ST|美利大廈,舊墟直街",3790150.0,11662.0,325.0,4630585.0,11723.0,395.0,5059485.0,11631.0,435.0,5373060.0,11630.0,462.0,5297292.0,11466.0,462.0,5145180.0,11828.0,435.0,4867190.0,12322.0,395.0,4078808.0,12212.0,334.0,0.02954350423179819,0.029442531491086665
2019-2-15,4643046.875,11471.5,8,37144375.0,91772.0,3243,"MEE LEE BLDG,KAU HUI CHIK ST|美利大廈,舊墟直街",3686475.0,11343.0,325.0,4505765.0,11407.0,395.0,4865910.0,11186.0,435.0,5225220.0,11310.0,462.0,5154072.0,11156.0,462.0,5005545.0,11507.0,435.0,4734470.0,11986.0,395.0,3966918.0,11877.0,334.0,0.03779486463806414,0.03790997511875149
