,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,5977542.0,14856.75,4,23910168,59427,1628,"METRO REGALIA,TONG MI RD|新港豪庭,塘尾道",6371648.0,13732.0,464.0,5548200.0,15852.0,350.0,5700800.0,16288.0,350.0,6289520.0,13555.0,464.0,-0.03869755892810911,-0.0376350180563878
2019-11-15,6218170.0,15437.75,4,24872680,61751,1628,"METRO REGALIA,TONG MI RD|新港豪庭,塘尾道",6573488.0,14167.0,464.0,5723900.0,16354.0,350.0,5880700.0,16802.0,350.0,6694592.0,14428.0,464.0,0.0733128774260321,0.07329579031529176
2019-10-15,5793436.5,14383.5,4,23173746,57534,1628,"METRO REGALIA,TONG MI RD|新港豪庭,塘尾道",6125728.0,13202.0,464.0,5333650.0,15239.0,350.0,5479600.0,15656.0,350.0,6234768.0,13437.0,464.0,-0.06248891006971735,-0.06253666166981686
2019-9-15,6179592.5,15343.0,4,24718370,61372,1628,"METRO REGALIA,TONG MI RD|新港豪庭,塘尾道",6533584.0,14081.0,464.0,5691350.0,16261.0,350.0,5847100.0,16706.0,350.0,6646336.0,14324.0,464.0,-0.041931218838424655,-0.04199057163372988
2019-8-15,6450051.0,16015.5,4,25800204,64062,1628,"METRO REGALIA,TONG MI RD|新港豪庭,塘尾道",6818016.0,14694.0,464.0,5943350.0,16981.0,350.0,6105750.0,17445.0,350.0,6933088.0,14942.0,464.0,0.024202263897838527,0.024139915590228878
2019-7-15,6297634.0,15638.0,4,25190536,62552,1628,"METRO REGALIA,TONG MI RD|新港豪庭,塘尾道",6656080.0,14345.0,464.0,5805450.0,16587.0,350.0,5964350.0,17041.0,350.0,6764656.0,14579.0,464.0,0.006070240660140502,0.006014989224484513
2019-6-15,6259636.5,15544.5,4,25038546,62178,1628,"METRO REGALIA,TONG MI RD|新港豪庭,塘尾道",6614784.0,14256.0,464.0,5772900.0,16494.0,350.0,5930750.0,16945.0,350.0,6720112.0,14483.0,464.0,0.00021787160771036262,0.0001930315606601951
2019-5-15,6258273.0,15541.5,4,25033092,62166,1628,"METRO REGALIA,TONG MI RD|新港豪庭,塘尾道",6613392.0,14253.0,464.0,5772550.0,16493.0,350.0,5930750.0,16945.0,350.0,6716400.0,14475.0,464.0,-0.007129224633163123,-0.006091419252721941
2019-4-15,6303210.0,15636.75,4,25212840,62547,1628,"METRO REGALIA,TONG MI RD|新港豪庭,塘尾道",6655152.0,14343.0,464.0,5727050.0,16363.0,350.0,5967150.0,17049.0,350.0,6863488.0,14792.0,464.0,0.048509018449101715,0.04853148259907458
2019-3-15,6011593.5,14913.0,4,24046374,59652,1628,"METRO REGALIA,TONG MI RD|新港豪庭,塘尾道",6348448.0,13682.0,464.0,5460350.0,15601.0,350.0,5691000.0,16260.0,350.0,6546576.0,14109.0,464.0,-0.02476291473495995,-0.02491173009023151
2019-2-15,6164238.0,15294.0,4,24656952,61176,1628,"METRO REGALIA,TONG MI RD|新港豪庭,塘尾道",6503424.0,14016.0,464.0,5591250.0,15975.0,350.0,5856550.0,16733.0,350.0,6705728.0,14452.0,464.0,0.06820810330372717,0.0683524850686319
2019-1-15,5770634.0,14315.5,4,23082536,57262,1628,"METRO REGALIA,TONG MI RD|新港豪庭,塘尾道",6083968.0,13112.0,464.0,5228300.0,14938.0,350.0,5477500.0,15650.0,350.0,6292768.0,13562.0,464.0,0.049609231763178885,0.04963888990724796
2018-12-15,5497888.0,13638.5,4,21991552,54554,1628,"METRO REGALIA,TONG MI RD|新港豪庭,塘尾道",5797680.0,12495.0,464.0,4979800.0,14228.0,350.0,5217800.0,14908.0,350.0,5996272.0,12923.0,464.0,-0.07979470534754274,-0.07976991717693094
2018-11-15,5974632.0,14820.75,4,23898528,59283,1628,"METRO REGALIA,TONG MI RD|新港豪庭,塘尾道",6301584.0,13581.0,464.0,5409950.0,15457.0,350.0,5669650.0,16199.0,350.0,6517344.0,14046.0,464.0,-0.06087825002312586,-0.06191847585290211
2018-10-15,6361935.5,15799.0,4,25447742,63196,1628,"METRO REGALIA,TONG MI RD|新港豪庭,塘尾道",6661184.0,14356.0,464.0,5906600.0,16876.0,350.0,5990950.0,17117.0,350.0,6889008.0,14847.0,464.0,-0.006041460615165306,-0.006008367674352755
2018-9-15,6400604.5,15894.5,4,25602418,63578,1628,"METRO REGALIA,TONG MI RD|新港豪庭,塘尾道",6703408.0,14447.0,464.0,5939850.0,16971.0,350.0,6027000.0,17220.0,350.0,6932160.0,14940.0,464.0,-0.002451011333424069,-0.0024163685432749826
2018-8-15,6416331.0,15933.0,4,25665324,63732,1628,"METRO REGALIA,TONG MI RD|新港豪庭,塘尾道",6721504.0,14486.0,464.0,5951750.0,17005.0,350.0,6041350.0,17261.0,350.0,6950720.0,14980.0,464.0,-0.019399633333068378,-0.016693924152189288
2018-7-15,6543268.0,16203.5,4,26173072,64814,1628,"METRO REGALIA,TONG MI RD|新港豪庭,塘尾道",7327488.0,15792.0,464.0,5878250.0,16795.0,350.0,6097350.0,17421.0,350.0,6869984.0,14806.0,464.0,0.005357307067996198,0.005398194397046474
