,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,18441254.030133523,18105.0,5,92206270.15066762,90525.0,4377,"PACIFIC PALISADES(Phase 1),Block 1,BRAEMAR HILL RD|寶馬山花園1期,1座,寶馬山道",20488729.937276106,18872.0,935.0,17414470.63216794,17812.0,842.0,17145608.09995111,17537.0,842.0,20596946.090493746,18911.0,938.0,16560515.390778719,17393.0,820.0,-0.06036960286524862,-0.01596843272387327
2019-11-15,19626072.2155936,18398.8,5,98130361.077968,91994.0,4377,"PACIFIC PALISADES(Phase 1),Block 1,BRAEMAR HILL RD|寶馬山花園1期,1座,寶馬山道",21805933.93601977,19179.0,935.0,18536330.080121893,18104.0,842.0,18242476.41612526,17817.0,842.0,21920383.574766483,19218.0,938.0,17625237.070934594,17676.0,820.0,-0.016171146211441778,-0.024960518924418862
2019-10-15,19948664.99393357,18869.8,5,99743324.96966785,94349.0,4377,"PACIFIC PALISADES(Phase 1),Block 1,BRAEMAR HILL RD|寶馬山花園1期,1座,寶馬山道",22165459.572218407,19671.0,935.0,18844563.076544587,18571.0,842.0,18537099.68673289,18268.0,842.0,22281795.67049413,19711.0,938.0,17914406.96367783,18128.0,820.0,0.08842853865566269,0.03891427627594557
2019-9-15,18327951.064727243,18163.0,5,91639755.32363622,90815.0,4377,"PACIFIC PALISADES(Phase 1),Block 1,BRAEMAR HILL RD|寶馬山花園1期,1座,寶馬山道",20365494.249687288,18935.0,935.0,17316059.065954916,17878.0,842.0,17026457.227901414,17579.0,842.0,20471840.027482666,18973.0,938.0,16459904.752609923,17450.0,820.0,-0.10861961003591714,0.06716882689573334
2019-8-15,20561312.848116107,17019.8,5,102806564.24058054,85099.0,4377,"PACIFIC PALISADES(Phase 1),Block 1,BRAEMAR HILL RD|寶馬山花園1期,1座,寶馬山道",22901227.926800106,17787.0,935.0,19475484.33405521,16797.0,842.0,18896912.762780964,16298.0,842.0,23022499.12136836,17824.0,938.0,18510440.0955759,16393.0,820.0,0.022038500943776906,0.01453266571292322
2019-7-15,20117943.53062948,16776.0,5,100589717.65314738,83880.0,4377,"PACIFIC PALISADES(Phase 1),Block 1,BRAEMAR HILL RD|寶馬山花園1期,1座,寶馬山道",22389963.2592457,17518.0,935.0,19086770.004208732,16583.0,842.0,18511277.933889467,16083.0,842.0,22507962.37205829,17554.0,938.0,18093744.083745196,16142.0,820.0,0.023131298119603683,0.015545546999854665
2019-6-15,19663110.265128158,16519.2,5,98315551.3256408,82596.0,4377,"PACIFIC PALISADES(Phase 1),Block 1,BRAEMAR HILL RD|寶馬山花園1期,1座,寶馬山道",21735372.648916118,17128.0,935.0,18535818.43381717,16220.0,842.0,18629526.02392648,16302.0,842.0,21849669.198847543,17163.0,938.0,17565165.020133484,15783.0,820.0,-0.014492360552651462,-0.007355062013267855
2019-5-15,19952265.6933992,16641.6,5,99761328.466996,83208.0,4377,"PACIFIC PALISADES(Phase 1),Block 1,BRAEMAR HILL RD|寶馬山花園1期,1座,寶馬山道",22055118.3228807,17255.0,935.0,18816245.53910395,16347.0,842.0,18895668.120751847,16416.0,842.0,22170763.496458173,17290.0,938.0,17823532.987801325,15900.0,820.0,0.035638763807467555,-0.04850771869639803
2019-4-15,19265661.33933208,17490.0,5,96328306.69666041,87450.0,4377,"PACIFIC PALISADES(Phase 1),Block 1,BRAEMAR HILL RD|寶馬山花園1期,1座,寶馬山道",21373063.135753386,17086.0,935.0,17889974.0,21247.0,842.0,18306568.18661343,16251.0,842.0,21485562.166010465,17121.0,938.0,17273139.20828313,15745.0,820.0,0.013274903074035782,-0.05906024381583619
2019-3-15,19013262.127468698,18587.8,5,95066310.63734348,92939.0,4377,"PACIFIC PALISADES(Phase 1),Block 1,BRAEMAR HILL RD|寶馬山花園1期,1座,寶馬山道",21331841.632937156,17551.0,935.0,17640742.0,20951.0,842.0,17409192.0,20676.0,842.0,21444181.5660799,17587.0,938.0,17240353.438326437,16174.0,820.0,0.010906623039363517,0.005648311457848498
