,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_blank,npsf_blank,nfa_blank,lumpSum_change,npsf_change
2019-12-15,32273752.0,22712.0,1,32273752,22712,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",32273752.0,22712.0,1421.0,-0.045353284855617626,-0.045353284855617626
2019-11-15,33807011.0,23791.0,1,33807011,23791,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",33807011.0,23791.0,1421.0,0.09097996056312185,0.09097996056312185
2019-10-15,30987747.0,21807.0,1,30987747,21807,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",30987747.0,21807.0,1421.0,-0.05413142485361089,-0.05413142485361089
2019-9-15,32761155.0,23055.0,1,32761155,23055,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",32761155.0,23055.0,1421.0,-0.04947433518862088,-0.04947433518862088
2019-8-15,34466355.0,24255.0,1,34466355,24255,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",34466355.0,24255.0,1421.0,0.01570351758793964,0.01570351758793964
2019-7-15,33933480.0,23880.0,1,33933480,23880,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",33933480.0,23880.0,1421.0,-0.09056287607586255,-0.09056287607586255
2019-6-15,37312618.0,26258.0,1,37312618,26258,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",37312618.0,26258.0,1421.0,0.07302521351804181,0.07302521351804181
2019-5-15,34773291.0,24471.0,1,34773291,24471,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",34773291.0,24471.0,1421.0,0.0004088140304974175,0.0004088140304974175
2019-4-15,34759081.0,24461.0,1,34759081,24461,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",34759081.0,24461.0,1421.0,0.006128660743665693,0.006128660743665693
2019-3-15,34547352.0,24312.0,1,34547352,24312,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",34547352.0,24312.0,1421.0,0.011020085665571555,0.011020085665571555
2019-2-15,34170787.0,24047.0,1,34170787,24047,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",34170787.0,24047.0,1421.0,0.08888788262995839,0.08888788262995839
2019-1-15,31381364.0,22084.0,1,31381364,22084,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",31381364.0,22084.0,1421.0,-0.03525402996810978,-0.03525402996810978
2018-12-15,32528111.0,22891.0,1,32528111,22891,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",32528111.0,22891.0,1421.0,0.04424980612198359,0.04424980612198359
2018-11-15,31149741.0,21921.0,1,31149741,21921,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",31149741.0,21921.0,1421.0,-0.09241088063594582,-0.09241088063594582
2018-10-15,34321413.0,24153.0,1,34321413,24153,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",34321413.0,24153.0,1421.0,0.18275304833259876,0.18275304833259876
2018-9-15,29018241.0,20421.0,1,29018241,20421,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",29018241.0,20421.0,1421.0,-0.11868283630400067,-0.11868283630400067
2018-8-15,32925991.0,23171.0,1,32925991,23171,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",32925991.0,23171.0,1421.0,-0.06966192885248534,-0.06966192885248534
2018-7-15,35391426.0,24906.0,1,35391426,24906,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",35391426.0,24906.0,1421.0,-0.024174274184069255,-0.024174274184069255
2018-6-15,36268183.0,25523.0,1,36268183,25523,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",36268183.0,25523.0,1421.0,0.06137979789578751,0.06137979789578751
2018-5-15,34170787.0,24047.0,1,34170787,24047,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",34170787.0,24047.0,1421.0,0.003337922977427299,0.003337922977427299
2018-4-15,34057107.0,23967.0,1,34057107,23967,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",34057107.0,23967.0,1421.0,-0.02075587334014295,-0.02075587334014295
2018-3-15,34778975.0,24475.0,1,34778975,24475,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",34778975.0,24475.0,1421.0,0.048000342553738085,0.048000342553738085
2018-2-15,33186034.0,23354.0,1,33186034,23354,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",33186034.0,23354.0,1421.0,0.021073802028681365,0.021073802028681365
2018-1-15,32501112.0,22872.0,1,32501112,22872,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",32501112.0,22872.0,1421.0,-0.0659533630089435,-0.0659533630089435
2017-12-15,34796027.0,24487.0,1,34796027,24487,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",34796027.0,24487.0,1421.0,-0.06241145613967913,-0.06241145613967913
2017-11-15,37112257.0,26117.0,1,37112257,26117,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",37112257.0,26117.0,1421.0,0.14543221788518057,0.14543221788518057
2017-10-15,32400221.0,22801.0,1,32400221,22801,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",32400221.0,22801.0,1421.0,0.06871338176704955,0.06871338176704955
2017-9-15,30317035.0,21335.0,1,30317035,21335,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",30317035.0,21335.0,1421.0,-0.05547193199929168,-0.05547193199929168
2017-8-15,32097548.0,22588.0,1,32097548,22588,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",32097548.0,22588.0,1421.0,0.00911365260900654,0.00911365260900654
2017-7-15,31807664.0,22384.0,1,31807664,22384,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",31807664.0,22384.0,1421.0,-0.12281526765420492,-0.12281526765420492
2017-6-15,36261078.0,25518.0,1,36261078,25518,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",36261078.0,25518.0,1421.0,0.20441780336999105,0.20441780336999105
2017-5-15,30106727.0,21187.0,1,30106727,21187,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",30106727.0,21187.0,1421.0,0.041642084562438564,0.041642084562438564
2017-4-15,28903140.0,20340.0,1,28903140,20340,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",28903140.0,20340.0,1421.0,-0.0038689455898918146,-0.0038689455898918146
2017-3-15,29015399.0,20419.0,1,29015399,20419,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",29015399.0,20419.0,1421.0,-0.009459590569515841,-0.009459590569515841
2017-2-15,29292494.0,20614.0,1,29292494,20614,1421,"POKFULAM HTS,POK FU LAM RD|樸園,薄扶林道",29292494.0,20614.0,1421.0,-0.01141377325915982,-0.01141377325915982
