,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,,,2,,,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",,,411.0,,,418.0,,
2019-11-15,,,2,,,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",,,411.0,,,418.0,,
2019-10-15,,,2,,,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",,,411.0,,,418.0,,
2019-9-15,,,2,,,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",,,411.0,,,418.0,,
2019-8-15,,,2,,,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",,,411.0,,,418.0,,
2019-7-15,,,2,,,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",,,411.0,,,418.0,,
2019-6-15,,,2,,,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",,,411.0,,,418.0,,
2019-5-15,,,2,,,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",,,411.0,,,418.0,,
2019-4-15,,,2,,,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",,,411.0,,,418.0,,
2019-3-15,,,2,,,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",,,411.0,,,418.0,,
2019-2-15,,,2,,,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",,,411.0,,,418.0,,
2019-1-15,,,2,,,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",,,411.0,,,418.0,,
2018-12-15,,,2,,,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",,,411.0,,,418.0,,
2018-11-15,,,2,,,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",,,411.0,,,418.0,,
2018-10-15,,,2,,,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",,,411.0,,,418.0,,
2018-9-15,,,2,,,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",,,411.0,,,418.0,,
2018-8-15,5767415.5,13909.0,2,11534831,27818,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",5465889.0,13299.0,411.0,6068942.0,14519.0,418.0,0.0013310475855805581,0.0013318455059212475
2018-7-15,5759749.0,13890.5,2,11519498,27781,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",5458080.0,13280.0,411.0,6061418.0,14501.0,418.0,-0.005535918638243098,-0.005904243898947947
2018-6-15,5791812.0,13973.0,2,11583624,27946,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",5742492.0,13972.0,411.0,5841132.0,13974.0,418.0,0.020150385475066868,0.020150397897349848
2018-5-15,5677410.0,13697.0,2,11354820,27394,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",5629056.0,13696.0,411.0,5725764.0,13698.0,418.0,-0.015347810161251418,-0.015348118327881854
2018-4-15,5765904.0,13910.5,2,11531808,27821,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",5717010.0,13910.0,411.0,5814798.0,13911.0,418.0,0.028654554173586533,0.02865488427124152
2018-3-15,5605287.0,13523.0,2,11210574,27046,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",5557542.0,13522.0,411.0,5653032.0,13524.0,418.0,0.009103792487755502,0.009103798224013193
2018-2-15,5554718.0,13401.0,2,11109436,26802,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",5507400.0,13400.0,411.0,5602036.0,13402.0,418.0,0.02658187341390361,0.026581890608242675
2018-1-15,5410886.5,13054.0,2,10821773,26108,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",5364783.0,13053.0,411.0,5456990.0,13055.0,418.0,-0.012817765639189238,-0.012818089008205136
2017-12-15,5481142.5,13223.5,2,10962285,26447,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",5434653.0,13223.0,411.0,5527632.0,13224.0,418.0,0.028066074363951143,0.028066083576287593
2017-11-15,5331508.0,12862.5,2,10663016,25725,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",5286282.0,12862.0,411.0,5376734.0,12863.0,418.0,0.025676798500357645,0.025676807144850766
2017-10-15,5198039.0,12540.5,2,10396078,25081,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",5153940.0,12540.0,411.0,5242138.0,12541.0,418.0,-0.003813002653348496,-0.0038130039321603304
2017-9-15,5217935.0,12588.5,2,10435870,25177,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",5173668.0,12588.0,411.0,5262202.0,12589.0,418.0,0.0023090083404173622,0.002309009116604921
2017-8-15,5205914.5,12559.5,2,10411829,25119,829,"SAI SEE MANS,WUN SHA ST|西施樓,浣紗街",5161749.0,12559.0,411.0,5250080.0,12560.0,418.0,0.0017547352017219797,0.0017547357926221974
