,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,5994061.166666667,11370.333333333334,6,35964367.0,68222.0,3176,"SEA CREST VILLA(Phase 4),Block 12,CASTLE PEAK RD TSING LUNG TAU|浪翠園4期,12座,青山公路青龍頭段",4945500.0,10990.0,450.0,7182441.0,10899.0,659.0,5792547.0,12093.0,479.0,5805959.0,12121.0,479.0,7202870.0,10930.0,659.0,5035050.0,11189.0,450.0,0.000555134952405556,0.0001759272833894432
2019-11-15,5990735.5,11368.333333333334,6,35944413.0,68210.0,3176,"SEA CREST VILLA(Phase 4),Block 12,CASTLE PEAK RD TSING LUNG TAU|浪翠園4期,12座,青山公路青龍頭段",4922100.0,10938.0,450.0,7150809.0,10851.0,659.0,5767639.0,12041.0,479.0,5921877.0,12363.0,479.0,7171238.0,10882.0,659.0,5010749.999999999,11135.0,450.0,0.011218334732941981,0.011447551825380486
2019-10-15,5924275.0,11239.666666666666,6,35545650.0,67438.0,3176,"SEA CREST VILLA(Phase 4),Block 12,CASTLE PEAK RD TSING LUNG TAU|浪翠園4期,12座,青山公路青龍頭段",4876650.0,10837.0,450.0,7087545.0,10755.0,659.0,5643099.0,11781.0,479.0,5867750.0,12250.0,479.0,7106656.0,10784.0,659.0,4963950.0,11031.0,450.0,-0.02502880425596976,-0.02501156604210042
2019-9-15,6076359.0,11528.0,6,36458154.0,69168.0,3176,"SEA CREST VILLA(Phase 4),Block 12,CASTLE PEAK RD TSING LUNG TAU|浪翠園4期,12座,青山公路青龍頭段",5000400.0,11112.0,450.0,7270088.0,11032.0,659.0,5790152.0,12088.0,479.0,6018156.0,12564.0,479.0,7289858.0,11062.0,659.0,5089500.000000001,11310.0,450.0,-0.013329441299141265,-0.013309367912012648
2019-8-15,6158447.666666667,11683.5,6,36950686.0,70101.0,3176,"SEA CREST VILLA(Phase 4),Block 12,CASTLE PEAK RD TSING LUNG TAU|浪翠園4期,12座,青山公路青龍頭段",5066550.0,11259.0,450.0,7369597.0,11183.0,659.0,5870624.0,12256.0,479.0,6099107.0,12733.0,479.0,7388708.0,11212.0,659.0,5156100.0,11458.0,450.0,-0.0031567914071606307,-0.0031143344709897436
2019-7-15,6177950.166666667,11720.0,6,37067701.0,70320.0,3176,"SEA CREST VILLA(Phase 4),Block 12,CASTLE PEAK RD TSING LUNG TAU|浪翠園4期,12座,青山公路青龍頭段",5074650.0,11277.0,450.0,7394639.0,11221.0,659.0,5893137.0,12303.0,479.0,6119225.0,12775.0,479.0,7413750.0,11250.0,659.0,5172300.0,11494.0,450.0,0.023464411352738246,0.02502805999737623
2019-6-15,6036311.666666667,11433.833333333334,6,36217870.0,68603.0,3176,"SEA CREST VILLA(Phase 4),Block 12,CASTLE PEAK RD TSING LUNG TAU|浪翠園4期,12座,青山公路青龍頭段",4960800.0,11024.0,450.0,7229889.0,10971.0,659.0,5763328.0,12032.0,479.0,5982231.000000001,12489.0,479.0,7386072.0,11208.0,659.0,4895550.0,10879.0,450.0,-0.026032597933045354,-0.026009796266060814
2019-5-15,6197652.666666667,11739.166666666666,6,37185916.0,70435.0,3176,"SEA CREST VILLA(Phase 4),Block 12,CASTLE PEAK RD TSING LUNG TAU|浪翠園4期,12座,青山公路青龍頭段",5093100.0,11318.0,450.0,7422976.0,11264.0,659.0,5919482.0,12358.0,479.0,6141259.0,12821.0,479.0,7585749.0,11511.0,659.0,5023350.0,11163.0,450.0,0.01750247207197586,0.017523330733003828
2019-4-15,6091044.333333333,11537.0,6,36546266.0,69222.0,3176,"SEA CREST VILLA(Phase 4),Block 12,CASTLE PEAK RD TSING LUNG TAU|浪翠園4期,12座,青山公路青龍頭段",5005350.0,11123.0,450.0,7295130.0,11070.0,659.0,5819371.0,12149.0,479.0,6034921.0,12599.0,479.0,7457244.0,11316.0,659.0,4934250.0,10965.0,450.0,0.011849175379102794,0.01166257453525077
2019-3-15,6019715.666666667,11404.0,6,36118294.0,68424.0,3176,"SEA CREST VILLA(Phase 4),Block 12,CASTLE PEAK RD TSING LUNG TAU|浪翠園4期,12座,青山公路青龍頭段",4936049.999999999,10969.0,450.0,7194962.0,10918.0,659.0,5814581.0,12139.0,479.0,5951575.0,12425.0,479.0,7357075.999999999,11164.0,659.0,4864050.0,10809.0,450.0,0.048741640775723516,0.048772263265994376
