,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,4461593.75,13672.75,4,17846375.0,54691.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4698951.0,13089.0,359.0,3537134.0,15446.0,229.0,4872208.0,12958.0,376.0,4738082.0,13198.0,359.0,-0.014721613636328512,-0.014736349060512688
2019-11-15,4528257.0,13877.25,4,18113028.0,55509.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4768956.0,13284.0,359.0,3590491.0,15679.0,229.0,4944776.0,13151.0,376.0,4808805.0,13395.0,359.0,0.08580840477829299,0.08555951030625408
2019-10-15,4170401.5,12783.5,4,16681606.0,51134.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4402058.0,12262.0,359.0,3315004.0,14476.0,229.0,4564640.0,12140.0,376.0,4399904.0,12256.0,359.0,-0.08888317826813252,-0.088894036313098
2019-9-15,4577241.25,14030.75,4,18308965.0,56123.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4831063.0,13457.0,359.0,3638810.0,15890.0,229.0,5009824.0,13324.0,376.0,4829268.0,13452.0,359.0,-0.008782220391623019,-0.008322437007456607
2019-8-15,4617795.75,14148.5,4,18471183.0,56594.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4944866.0,13774.0,359.0,3652321.0,15949.0,229.0,5027496.0,13371.0,376.0,4846500.0,13500.0,359.0,0.01783651132015751,0.017072820070447747
2019-7-15,4536873.75,13911.0,4,18147495.0,55644.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4896760.0,13640.0,359.0,3616826.0,15794.0,229.0,4965832.0,13207.0,376.0,4668077.0,13003.0,359.0,-0.031994258800240094,-0.032412881686026296
2019-6-15,4686825.25,14377.0,4,18747301.0,57508.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4994408.0,13912.0,359.0,3753997.0,16393.0,229.0,5153832.0,13707.0,376.0,4845064.0,13496.0,359.0,0.011185483348555403,0.01118300745533829
2019-5-15,4634980.75,14218.0,4,18539923.0,56872.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4939122.0,13758.0,359.0,3712548.0,16212.0,229.0,5096680.0,13555.0,376.0,4791573.0,13347.0,359.0,0.021307178359479595,0.02129799231404661
2019-4-15,4538282.75,13921.5,4,18153131.0,55686.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4836448.0,13472.0,359.0,3635375.0,15875.0,229.0,4989896.0,13271.0,376.0,4691412.0,13068.0,359.0,-0.012585218507934703,-0.012589545357826748
2019-3-15,4596126.0,14099.0,4,18384504.0,56396.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4898196.0,13644.0,359.0,3681862.0,16078.0,229.0,5053440.0,13440.0,376.0,4751006.0,13234.0,359.0,0.020384655154241482,0.020372715759001236
2019-2-15,4504307.25,13817.5,4,18017229.0,55270.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4800907.0,13373.0,359.0,3608582.0,15758.0,229.0,4950792.0,13167.0,376.0,4656948.0,12972.0,359.0,0.03743081339369092,0.037408262477241605
2019-1-15,4341790.5,13319.25,4,17367162.0,53277.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4628587.0,12893.0,359.0,3478968.0,15192.0,229.0,4770312.0,12687.0,376.0,4489295.0,12505.0,359.0,0.010170243536762325,0.00798410746381606
2018-12-15,4298078.0,13213.75,4,17192312.0,52855.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4559300.0,12700.0,359.0,3514234.0,15346.0,229.0,4696616.0,12491.0,376.0,4422162.0,12318.0,359.0,-0.01120859151658593,-0.010983870364133064
2018-11-15,4346799.5,13360.5,4,17387198.0,53442.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4618176.0,12864.0,359.0,3547210.0,15490.0,229.0,4760160.0,12660.0,376.0,4461652.0,12428.0,359.0,-0.016429574229220978,-0.01650748081488429
2018-10-15,4419408.5,13584.75,4,17677634.0,54339.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4696797.0,13083.0,359.0,3608811.0,15759.0,229.0,4834984.0,12859.0,376.0,4537042.0,12638.0,359.0,-0.03791377421646969,-0.03797535585298495
2018-9-15,4593568.0,14121.0,4,18374272.0,56484.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4882400.0,13600.0,359.0,3753081.0,16389.0,229.0,5022608.0,13358.0,376.0,4716183.0,13137.0,359.0,-0.05467021449057874,-0.055009034330455786
2018-8-15,4859222.75,14943.0,4,19436891.0,59772.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",5176780.0,14420.0,359.0,3980936.0,17384.0,229.0,5278664.0,14039.0,376.0,5000511.0,13929.0,359.0,0.04735965223821914,0.06714752459338347
2018-7-15,4639497.75,14002.75,4,18557991.0,56011.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",5160984.0,14376.0,359.0,3149437.0,13753.0,229.0,5262496.0,13996.0,376.0,4985074.0,13886.0,359.0,0.0659589870386379,0.06600308318900705
2018-6-15,4352416.75,13135.75,4,17409667.0,52543.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4843269.0,13491.0,359.0,2953184.0,12896.0,229.0,4936880.0,13130.0,376.0,4676334.0,13026.0,359.0,0.026041381199521263,0.026090182982795307
2018-5-15,4241950.5,12801.75,4,16967802.0,51207.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4722286.0,13154.0,359.0,2876698.0,12562.0,229.0,4811672.0,12797.0,376.0,4557146.0,12694.0,359.0,0.009102786656065565,0.009144118400567613
2018-4-15,4203685.25,12685.75,4,16814741.0,50743.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4681360.0,13040.0,359.0,2849447.0,12443.0,229.0,4768432.0,12682.0,376.0,4515502.0,12578.0,359.0,0.017641878953522427,0.01768917590902719
2018-3-15,4130810.0,12465.25,4,16523240.0,49861.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4601662.0,12818.0,359.0,2798609.0,12221.0,229.0,4686088.0,12463.0,376.0,4436881.0,12359.0,359.0,0.01270263564857621,0.012776243093922668
2018-2-15,4078996.0,12308.0,4,16315984.0,49232.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4546017.0,12663.0,359.0,2761282.0,12058.0,229.0,4627808.0,12308.0,376.0,4380877.0,12203.0,359.0,-0.012511329107431246,-0.011921486773973422
2018-1-15,4130676.25,12456.5,4,16522705.0,49826.0,1323,"SHUN NING BLDG,CHEUNG WAH ST|順寧大廈,昌華街",4575096.0,12744.0,359.0,2775022.0,12118.0,229.0,4656008.0,12383.0,376.0,4516579.0,12581.0,359.0,0.09057735693135904,0.091239597021463
