,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,8299500.0,15090.0,1,8299500,15090,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",8299500.0,15090.0,550.0,-0.07104161536567344,-0.07104161536567344
2019-11-15,8934200.0,16244.0,1,8934200,16244,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",8934200.0,16244.0,550.0,0.05775867682490077,0.05775867682490077
2019-10-15,8446350.0,15357.0,1,8446350,15357,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",8446350.0,15357.0,550.0,-0.14929093729226683,-0.14929093729226683
2019-9-15,9928600.0,18052.0,1,9928600,18052,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",9928600.0,18052.0,550.0,0.1091177193413615,0.1091177193413615
2019-8-15,8951800.0,16276.0,1,8951800,16276,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",8951800.0,16276.0,550.0,-0.049687627722309835,-0.049687627722309835
2019-7-15,9419850.0,17127.0,1,9419850,17127,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",9419850.0,17127.0,550.0,0.08070418980312977,0.08070418980312977
2019-6-15,8716400.0,15848.0,1,8716400,15848,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",8716400.0,15848.0,550.0,-0.012339523868876934,-0.012339523868876934
2019-5-15,8825300.0,16046.0,1,8825300,16046,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",8825300.0,16046.0,550.0,0.046774088329310404,0.046774088329310404
2019-4-15,8430950.0,15329.0,1,8430950,15329,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",8430950.0,15329.0,550.0,0.02487129772013108,0.02487129772013108
2019-3-15,8226350.0,14957.0,1,8226350,14957,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",8226350.0,14957.0,550.0,0.024522227549832243,0.024522227549832243
2019-2-15,8029450.0,14599.0,1,8029450,14599,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",8029450.0,14599.0,550.0,0.023413950227830327,0.023413950227830327
2019-1-15,7845750.0,14265.0,1,7845750,14265,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",7845750.0,14265.0,550.0,0.04329700870328379,0.04329700870328379
2018-12-15,7520150.0,13673.0,1,7520150,13673,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",7520150.0,13673.0,550.0,-0.14559770043116915,-0.14559770043116915
2018-11-15,8801650.0,16003.0,1,8801650,16003,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",8801650.0,16003.0,550.0,-0.06135257199835764,-0.06135257199835764
2018-10-15,9376950.0,17049.0,1,9376950,17049,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",9376950.0,17049.0,550.0,0.057827139045728115,0.057827139045728115
2018-9-15,8864350.0,16117.0,1,8864350,16117,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",8864350.0,16117.0,550.0,-0.06389034094209212,-0.06389034094209212
2018-8-15,9469350.0,17217.0,1,9469350,17217,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",9469350.0,17217.0,550.0,0.04459410265744457,0.04459410265744457
2018-7-15,9065100.0,16482.0,1,9065100,16482,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",9065100.0,16482.0,550.0,0.1102728191310205,0.1102728191310205
2018-6-15,8164750.0,14845.0,1,8164750,14845,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",8164750.0,14845.0,550.0,-0.025087016483877345,-0.025087016483877345
2018-5-15,8374850.0,15227.0,1,8374850,15227,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",8374850.0,15227.0,550.0,-0.02215515026971482,-0.02215515026971482
2018-4-15,8564600.0,15572.0,1,8564600,15572,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",8564600.0,15572.0,550.0,0.04076995054137145,0.04076995054137145
2018-3-15,8229100.0,14962.0,1,8229100,14962,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",8229100.0,14962.0,550.0,0.003218452460775012,0.003218452460775012
2018-2-15,8202700.0,14914.0,1,8202700,14914,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",8202700.0,14914.0,550.0,0.021017320462791922,0.021017320462791922
2018-1-15,8033850.0,14607.0,1,8033850,14607,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",8033850.0,14607.0,550.0,0.028444694782792324,0.028444694782792324
2017-12-15,7811650.0,14203.0,1,7811650,14203,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",7811650.0,14203.0,550.0,0.045260523991757395,0.045260523991757395
2017-11-15,7473400.0,13588.0,1,7473400,13588,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",7473400.0,13588.0,550.0,-0.008464681844716826,-0.008464681844716826
2017-10-15,7537200.0,13704.0,1,7537200,13704,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",7537200.0,13704.0,550.0,-0.05142936249740426,-0.05142936249740426
2017-9-15,7945850.0,14447.0,1,7945850,14447,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",7945850.0,14447.0,550.0,0.06290464979399646,0.06290464979399646
2017-8-15,7475600.0,13592.0,1,7475600,13592,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",7475600.0,13592.0,550.0,0.046101747094589474,0.046101747094589474
2017-7-15,7146150.0,12993.0,1,7146150,12993,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",7146150.0,12993.0,550.0,-0.07700504368828587,-0.07700504368828587
2017-6-15,7742350.0,14077.0,1,7742350,14077,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",7742350.0,14077.0,550.0,0.06169394373632997,0.06169394373632997
2017-5-15,7292450.0,13259.0,1,7292450,13259,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",7292450.0,13259.0,550.0,-0.0017316669176329347,-0.0017316669176329347
2017-4-15,7305100.0,13282.0,1,7305100,13282,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",7305100.0,13282.0,550.0,0.006135898795545769,0.006135898795545769
2017-3-15,7260550.0,13201.0,1,7260550,13201,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",7260550.0,13201.0,550.0,0.1125063205798078,0.1125063205798078
2017-2-15,6526300.0,11866.0,1,6526300,11866,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",6526300.0,11866.0,550.0,-0.057580811690890354,-0.057580811690890354
2017-1-15,6925050.0,12591.0,1,6925050,12591,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",6925050.0,12591.0,550.0,0.09429862680340695,0.09429862680340695
2016-12-15,6328300.0,11506.0,1,6328300,11506,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",6328300.0,11506.0,550.0,-0.05183353934899049,-0.05183353934899049
2016-11-15,6674250.0,12135.0,1,6674250,12135,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",6674250.0,12135.0,550.0,-0.058645566674424,-0.058645566674424
2016-10-15,7090050.0,12891.0,1,7090050,12891,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",7090050.0,12891.0,550.0,0.06449215524360041,0.06449215524360041
2016-9-15,6660500.0,12110.0,1,6660500,12110,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",6660500.0,12110.0,550.0,0.05167173252279644,0.05167173252279644
2016-8-15,6333250.0,11515.0,1,6333250,11515,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",6333250.0,11515.0,550.0,-0.0686670980265286,-0.0686670980265286
2016-7-15,6800200.0,12364.0,1,6800200,12364,550,"WEST GRAND COURT,QUEEN'S RD W|宏立閣,皇后大道西",6800200.0,12364.0,550.0,0.005530253741053981,0.005530253741053981
