,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,9467769.251870176,9342.0,2,18935538.50374035,18684.0,1072,"WING HING COURT,TUNG LO WAN RD|永興閣,銅鑼灣道",9464728.863542663,9339.0,536.0,9470809.640197689,9345.0,536.0,-0.05852999289636118,-0.0055354481583990145
2019-11-15,10056368.424308121,9394.0,2,20112736.848616242,18788.0,1072,"WING HING COURT,TUNG LO WAN RD|永興閣,銅鑼灣道",10038169.758860681,9377.0,536.0,10074567.08975556,9411.0,536.0,-0.015821802598521617,0.041174840676087454
2019-10-15,10218036.175623387,9022.5,2,20436072.351246774,18045.0,1072,"WING HING COURT,TUNG LO WAN RD|永興閣,銅鑼灣道",10201614.837352782,9008.0,536.0,10234457.513893994,9037.0,536.0,0.08881833746335066,0.0238297872340425
2019-9-15,9384518.81645254,8812.5,2,18769037.63290508,17625.0,1072,"WING HING COURT,TUNG LO WAN RD|永興閣,銅鑼灣道",9370142.532308187,8799.0,536.0,9398895.100596892,8826.0,536.0,-0.11047370004644297,0.0010791775531069359
2019-8-15,10550018.382753287,8803.0,2,21100036.765506573,17606.0,1072,"WING HING COURT,TUNG LO WAN RD|永興閣,銅鑼灣道",10535636.896828825,8791.0,536.0,10564399.868677748,8815.0,536.0,0.02090763782296401,0.02223770539394998
2019-7-15,10333959.696149094,8611.5,2,20667919.392298188,17223.0,1072,"WING HING COURT,TUNG LO WAN RD|永興閣,銅鑼灣道",10321359.501431616,8601.0,536.0,10346559.890866572,8622.0,536.0,0.03020246423833295,0.034973859744005686
2019-6-15,10030998.813218113,8320.5,2,20061997.626436226,16641.0,1072,"WING HING COURT,TUNG LO WAN RD|永興閣,銅鑼灣道",10019545.83698765,8311.0,536.0,10042451.789448578,8330.0,536.0,-0.014408812089868661,-0.0050224215246637005
2019-5-15,10177646.61074949,8362.5,2,20355293.22149898,16725.0,1072,"WING HING COURT,TUNG LO WAN RD|永興閣,銅鑼灣道",10167301.618678775,8354.0,536.0,10187991.602820208,8371.0,536.0,0.03182982052494987,0.008198203628910772
2019-4-15,9863687.216920663,8294.5,2,19727374.433841325,16589.0,1072,"WING HING COURT,TUNG LO WAN RD|永興閣,銅鑼灣道",9854768.336442403,8287.0,536.0,9872606.09739892,8302.0,536.0,0.0018514514190199893,-0.011912561796414312
2019-3-15,9845458.828202285,8394.5,2,19690917.65640457,16789.0,1072,"WING HING COURT,TUNG LO WAN RD|永興閣,銅鑼灣道",9837835.32681646,8388.0,536.0,9853082.329588111,8401.0,536.0,0.010959866551271569,0.042989376902528464
