,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B
2018-1-15,7157835.5,12372.5,2,14315671,24745,1157,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",7663839.0,12381.0,619.0,6651832.0,12364.0,538.0
2018-2-15,7331964.0,12673.5,2,14663928,25347,1157,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",7850158.0,12682.0,619.0,6813770.0,12665.0,538.0
2018-3-15,7426569.0,12837.0,2,14853138,25674,1157,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",7951674.0,12846.0,619.0,6901464.0,12828.0,538.0
2018-4-15,7624147.0,13178.5,2,15248294,26357,1157,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",8163372.0,13188.0,619.0,7084922.0,13169.0,538.0
2018-5-15,7483302.5,12935.0,2,14966605,25870,1157,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",8012955.0,12945.0,619.0,6953650.0,12925.0,538.0
2018-6-15,7375354.0,12713.5,2,14750708,25427,1157,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",8184418.0,13222.0,619.0,6566290.0,12205.0,538.0
2018-7-15,7685971.0,13249.0,2,15371942,26498,1157,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",8528582.0,13778.0,619.0,6843360.0,12720.0,538.0
2018-8-15,7654610.5,13195.0,2,15309221,26390,1157,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",8493299.0,13721.0,619.0,6815922.0,12669.0,538.0
2018-9-15,7377856.0,12718.0,2,14755712,25436,1157,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",8185656.0,13224.0,619.0,6570056.0,12212.0,538.0
2018-10-15,7660893.0,13206.0,2,15321786,26412,1157,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",8498870.0,13730.0,619.0,6822916.0,12682.0,538.0
2018-11-15,6886987.0,11872.0,2,13773974,23744,1157,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",7639698.0,12342.0,619.0,6134276.0,11402.0,538.0
2018-12-15,6733508.0,11607.5,2,13467016,23215,1157,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",7468854.0,12066.0,619.0,5998162.0,11149.0,538.0
2019-1-15,,,2,,,,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",,,,,,
2019-2-15,,,2,,,,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",,,,,,
2019-3-15,,,2,,,,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",,,,,,
2019-4-15,,,2,,,,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",,,,,,
2019-5-15,,,2,,,,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",,,,,,
2019-6-15,,,2,,,,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",,,,,,
2019-7-15,,,2,,,,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",,,,,,
2019-8-15,,,2,,,,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",,,,,,
2019-9-15,,,2,,,,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",,,,,,
2019-10-15,,,2,,,,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",,,,,,
2019-11-15,,,2,,,,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",,,,,,
2019-12-15,,,2,,,,"WUN SHA MANS,WUN SHA ST|浣沙閣,浣紗街",,,,,,
